,x1,x2,x3
2257,4.0,-0.0,1.4
3980,1.1,2.3,4.2
3769,1.2,0.0,0.0
2230,0.8,3.6,4.7
3346,0.8,0.9,1.9
2729,0.4,2.5,-0.0
3798,1.8,2.1,3.8
3216,0.2,2.8,4.2
2985,1.6,-0.0,0.0
2824,0.6,1.3,0.0
3870,1.6,2.3,-0.0
3432,0.8,0.0,1.5
2609,1.4,0.0,0.0
2993,1.3,1.1,-0.0
2933,1.1,-0.0,2.1
3738,1.0,2.6,0.0
3919,1.7,-0.0,0.0
3048,0.8,-0.0,-0.0
3011,1.2,0.0,0.0
3934,0.6,0.0,-0.0
2774,1.0,-0.0,0.0
2428,1.1,0.0,0.0
2454,1.2,3.3,4.7
3461,0.7,0.0,-0.0
3767,0.1,2.6,3.1
3100,1.0,0.0,0.0
3457,1.1,-0.0,1.5
3189,3.1,3.1,6.2
2962,0.7,0.0,0.0
2118,1.1,1.9,0.0
2617,1.0,-0.0,-0.0
2336,1.1,0.0,2.0
2377,0.9,-0.0,0.0
2236,1.2,0.0,-0.0
2288,2.1,3.8,6.1
2308,2.0,3.1,5.5
2823,0.9,1.9,3.1
3128,0.8,-0.0,-0.0
2004,1.0,-0.0,-0.0
3350,0.6,0.0,0.0
3057,2.5,2.0,0.0
2275,2.1,1.8,4.2
2192,0.4,0.0,1.7
3703,0.2,2.6,-0.0
3893,0.9,-0.0,-0.0
2351,2.8,-0.0,-0.0
3938,2.7,-0.0,4.0
2099,0.0,1.4,1.9
3184,1.6,3.2,5.1
3015,2.0,0.0,4.9
3170,1.2,2.5,4.7
3949,0.9,1.3,2.1
2154,2.1,0.0,4.5
2143,0.6,1.9,3.8
2902,2.1,2.7,3.1
3142,0.2,1.3,1.8
2015,1.2,1.8,3.6
2174,1.6,0.0,0.0
2964,0.7,0.0,1.0
2304,2.7,-0.0,3.2
2044,1.8,3.1,5.2
3864,0.2,2.7,0.0
3597,1.4,-0.0,0.0
2227,2.1,1.1,-0.0
3311,1.3,-0.0,0.0
3178,1.1,4.1,5.7
3108,1.8,2.2,3.8
2413,1.0,3.8,-0.0
2852,0.0,3.5,-0.0
2125,3.3,3.6,7.2
3826,0.7,3.1,0.0
3614,-0.0,2.7,0.0
3053,0.0,1.3,-0.0
3027,1.1,1.0,0.0
2069,1.8,1.9,2.6
2716,1.9,0.0,3.9
2891,1.2,1.6,-0.0
3742,1.6,2.1,0.0
2260,1.3,0.0,0.0
2417,2.1,1.9,0.0
2800,1.8,0.0,-0.0
2054,1.3,-0.0,-0.0
3382,0.8,0.0,-0.0
3261,1.5,-0.0,0.0
3023,1.3,0.5,0.0
3211,0.9,0.3,-0.0
2840,1.5,3.1,5.1
2324,0.9,0.0,0.0
2755,1.3,-0.0,-0.0
2455,1.1,0.0,-0.0
2614,0.0,1.3,-0.0
2483,2.3,0.0,3.4
2103,0.1,1.3,-0.0
2231,1.0,2.1,0.0
3140,1.6,-0.0,0.0
3169,0.9,1.8,3.1
