,y
2257,0.0
3980,0.0
3769,0.0
2230,0.0
3346,1.0
2729,0.0
3798,0.0
3216,0.0
2985,0.0
2824,0.0
3870,0.0
3432,1.0
2609,0.0
2993,0.0
2933,0.0
3738,0.0
3919,0.0
3048,0.0
3011,1.0
3934,0.0
2774,0.0
2428,0.0
2454,0.0
3461,1.0
3767,0.0
3100,0.0
3457,0.0
3189,0.0
2962,1.0
2118,1.0
2617,0.0
2336,0.0
2377,1.0
2236,0.0
2288,0.0
2308,0.0
2823,0.0
3128,0.0
2004,1.0
3350,0.0
3057,0.0
2275,0.0
2192,0.0
3703,0.0
3893,0.0
2351,0.0
3938,0.0
2099,0.0
3184,0.0
3015,0.0
3170,0.0
3949,0.0
2154,0.0
2143,0.0
2902,0.0
3142,0.0
2015,0.0
2174,0.0
2964,0.0
2304,0.0
2044,0.0
3864,0.0
3597,0.0
2227,0.0
3311,0.0
3178,0.0
3108,0.0
2413,0.0
2852,0.0
2125,0.0
3826,0.0
3614,0.0
3053,1.0
3027,1.0
2069,0.0
2716,0.0
2891,0.0
3742,0.0
2260,0.0
2417,0.0
2800,0.0
2054,0.0
3382,0.0
3261,0.0
3023,0.0
3211,0.0
2840,0.0
2324,0.0
2755,0.0
2455,0.0
2614,0.0
2483,0.0
2103,0.0
2231,0.0
3140,0.0
3169,0.0
3992,0.0
2036,0.0
3383,0.0
2019,0.0
3972,0.0
3498,0.0
2816,0.0
3956,0.0
2899,0.0
3102,0.0
2943,0.0
3624,0.0
2217,0.0
3916,0.0
3427,0.0
3541,0.0
3891,1.0
3255,1.0
2434,0.0
2457,0.0
2223,0.0
3575,0.0
2883,0.0
2140,0.0
2162,0.0
3111,1.0
3084,0.0
3820,0.0
3325,0.0
2330,0.0
2300,0.0
3153,0.0
2131,0.0
3590,0.0
3608,0.0
2754,0.0
3385,0.0
2622,0.0
3374,0.0
3012,0.0
3766,0.0
2662,0.0
3954,0.0
3001,1.0
3054,0.0
3638,0.0
3229,0.0
2183,0.0
3117,0.0
2194,0.0
2505,0.0
3418,0.0
3886,0.0
2758,0.0
3662,0.0
3657,0.0
2541,0.0
3314,0.0
3331,0.0
2141,0.0
3945,0.0
3721,1.0
2590,0.0
3838,0.0
3625,0.0
2855,0.0
2693,0.0
2825,0.0
2974,0.0
3260,0.0
3813,0.0
2426,0.0
2527,0.0
2150,0.0
3776,1.0
2028,0.0
2163,0.0
3853,0.0
3376,0.0
2418,0.0
2220,1.0
2822,1.0
2575,0.0
3655,0.0
3429,1.0
2490,1.0
3700,0.0
3793,0.0
2589,1.0
3298,1.0
2842,0.0
2158,0.0
3989,0.0
2537,0.0
3832,0.0
2770,0.0
3217,0.0
2556,1.0
2863,0.0
3939,0.0
3707,0.0
2648,0.0
2283,0.0
2064,1.0
