ix,goal_cost,intv_cost
2374,0.906,8.9
3006,0.902,3.7
3939,0.924,21.6
3064,0.906,5.0
3233,0.92,3.4
2823,0.908,5.9
2387,0.904,3.5
3385,0.912,5.699999999999999
3465,0.904,13.8
3413,0.912,8.0
2092,0.908,2.5
2770,0.908,10.1
3282,0.924,4.3
2495,0.906,9.8
2015,0.918,6.5
3845,0.92,3.1
2097,0.924,7.5
3647,0.904,3.3
3020,0.902,5.199999999999999
3402,0.924,5.1
3201,0.902,9.0
2021,0.902,2.2
2513,0.91,2.4
2760,0.902,4.4
3539,0.906,2.7
3921,0.92,8.1
2827,0.904,13.5
3640,0.91,2.5
3219,0.92,3.7
3022,0.912,6.6
2167,0.908,3.7
2213,0.908,4.0
2806,0.902,7.0
3608,0.906,6.7
2779,0.92,4.0
2635,0.91,5.800000000000001
3436,0.92,10.2
2413,0.922,9.7
2411,0.908,6.1
2575,0.902,3.1
2982,0.906,2.5
2438,0.904,5.1000000000000005
2367,0.904,3.7
3173,0.916,6.7
3655,0.904,6.2
2255,0.908,5.5
3174,0.914,2.9000000000000004
3400,0.916,4.4
3925,0.912,2.5
3793,0.906,9.9
3818,0.904,2.5
3970,0.912,6.9
2274,0.91,2.1
3057,0.922,9.0
2300,0.912,2.8
3898,0.906,2.6999999999999997
2803,0.906,11.2
2033,0.902,5.5
2381,0.908,2.8
3744,0.908,2.2
3885,0.91,3.5999999999999996
3056,0.906,3.8
3853,0.904,4.0
3457,0.906,3.6
3108,0.908,7.9
2060,0.908,4.3
2652,0.904,5.1
2469,0.922,9.6
2749,0.914,5.6
3367,0.918,7.7
3414,0.926,12.5
2664,0.916,5.8
2599,0.91,3.5
2608,0.906,10.100000000000001
3878,0.906,13.3
2184,0.922,5.1
2902,0.91,7.699999999999999
2935,0.924,3.8
2757,0.91,6.1
3972,0.906,4.3
3234,0.924,2.7
2030,0.924,4.8
2166,0.902,4.1
2028,0.918,4.7
3673,0.906,10.7
2531,0.908,11.0
2690,0.914,3.2
2505,0.916,5.1
3575,0.904,7.3
2683,0.918,6.300000000000001
2093,0.91,4.9
2209,0.91,2.8
2110,0.91,10.3
2565,0.91,12.5
3091,0.908,5.7
3594,0.91,2.8
3035,0.902,4.1
2547,0.922,2.5
3242,0.912,6.699999999999999
2832,0.916,8.0
2500,0.912,10.5
2966,0.902,3.2
3831,0.904,3.4
3190,0.902,2.3
3916,0.902,9.8
3524,0.906,7.4
3027,0.904,3.9
2605,0.916,4.4
3753,0.908,9.4
3172,0.908,3.4
2144,0.92,4.8
2027,0.91,3.9000000000000004
3158,0.91,5.0
3776,0.904,2.4000000000000004
3564,0.902,9.0
2123,0.908,6.7
2240,0.91,4.7
3934,0.904,2.4
2593,0.924,3.5
3787,0.912,5.6
3324,0.922,6.6
2090,0.918,9.2
2322,0.908,2.3
3979,0.902,5.3
3798,0.906,7.8
2602,0.906,3.3
3735,0.902,5.1
2103,0.912,2.8
2663,0.904,2.6
2524,0.926,6.2
3390,0.908,3.0
2754,0.904,4.1
2131,0.906000018119812,5.5
2698,0.916,4.2
3730,0.906,6.6
3418,0.914,4.8
2220,0.904,2.5999999999999996
2179,0.916,4.2
2829,0.926,5.0
2461,0.912,6.0
3147,0.916,9.3
3349,0.916,5.5
2286,0.924,4.7
3677,0.916,2.6
3256,0.902,5.800000000000001
2485,0.918,3.7
3280,0.91,5.1
3670,0.91,3.4000000000000004
2456,0.904,5.0
2796,0.902,7.5
3639,0.908,10.2
3259,0.904,9.9
2921,0.906,9.100000000000001
2661,0.914,7.4
3078,0.908,4.5
3511,0.906,4.5
3085,0.906,10.2
3358,0.91,6.5
2597,0.902,5.800000000000001
2776,0.902,9.5
2825,0.906,8.3
3224,0.922,10.3
3721,0.908,2.6
3194,0.908,4.5
3286,0.92,4.9
2173,0.912,3.8
2262,0.904,7.2
3843,0.902,6.0
2572,0.902,6.2
2406,0.906,3.2
3709,0.914,5.1
3918,0.902,4.8
2308,0.908,10.5
3346,0.91,3.6
2480,0.922,2.2
3888,0.902,2.1999999999999997
2020,0.914,9.1
2709,0.92,4.2
2174,0.902,6.4
3302,0.906,5.1
2316,0.902,6.6
2183,0.902,10.1
3342,0.914,6.3
3351,0.904,5.3
3914,0.902,6.5
2478,0.904,4.0
3658,0.92,10.8
3437,0.91,5.800000000000001
3893,0.912,3.5
2600,0.902,3.4000000000000004
3619,0.912,4.5
2735,0.922,9.8
2535,0.906,4.199999999999999
3135,0.908,7.5
3450,0.904,2.3000000000000003
2336,0.904,4.199999999999999
3789,0.91,3.6
2117,0.902,4.8
2223,0.906,6.1
3982,0.904,2.6
