,x1,x2,x3
2325,-0.0,0.1,5.4
2072,0.1,0.4,-0.0
2862,-0.0,0.0,4.6
3375,-0.0,-0.1,3.5
2498,-0.0,-0.0,1.0
2077,-0.0,-0.0,3.5
3117,0.0,-0.0,1.3
3324,0.2,-0.1,-0.0
3090,0.0,-0.0,2.3
3552,0.2,-0.0,-0.0
3830,0.1,0.0,0.0
3388,0.0,0.0,1.5
3839,0.0,-0.0,2.4
3988,0.0,0.0,3.5
3320,0.0,0.0,2.1
3018,0.0,0.0,2.1
3461,0.0,0.0,0.3
3067,0.0,-0.0,6.9
2213,1.3,2.0,0.0
3693,0.0,-0.0,2.0
3524,0.0,-0.0,2.8
3800,-0.0,-0.0,1.5
3387,0.8,0.0,0.0
2660,-0.0,-0.0,1.6
3490,0.1,-0.0,-0.0
3496,-0.0,-0.0,1.4
3113,0.8,0.0,0.0
3727,0.3,0.0,-0.0
3176,-0.0,-0.0,1.3
3160,0.0,0.0,4.6
2949,0.0,0.0,5.2
3190,-0.0,-0.0,2.2
2918,0.2,0.0,0.5
2344,0.0,-0.0,0.6
2539,0.0,0.0,0.9
3997,0.0,0.0,3.0
2405,-0.0,0.0,1.7
2135,0.0,0.0,0.7
3556,0.0,0.0,5.2
3260,0.1,0.5,-0.0
2994,0.0,0.0,2.9
3173,0.0,0.0,2.5
3078,0.0,-0.2,1.3
3807,-0.0,-0.1,3.7
3684,0.0,-0.0,5.2
3349,-0.0,0.0,0.1
2572,0.0,0.0,2.1
2457,0.7,0.0,-0.0
2670,0.0,-0.0,1.2
2348,0.9,0.0,0.0
2322,0.0,-0.0,5.6
2463,0.0,0.0,2.2
3213,-0.0,0.0,1.9
3606,1.1,1.2,-0.0
2319,0.0,-0.0,0.4
3365,0.3,-0.0,0.0
3092,0.0,0.0,3.0
3337,0.0,0.0,2.2
2177,0.0,0.0,3.6
2705,0.0,-0.0,0.8
2643,-0.0,0.1,3.8
2190,2.0,1.4,-0.0
2779,0.1,0.0,-0.0
2676,0.0,-0.0,1.8
3267,0.0,0.0,1.5
3198,-0.0,-0.0,6.6
2176,-0.0,0.1,4.9
2428,1.2,-0.0,-0.0
2945,-0.0,-0.0,1.3
2549,0.5,-0.0,-0.0
3716,0.0,0.0,2.7
3159,0.6,-0.0,-0.0
2944,0.4,2.0,-0.0
3780,0.0,0.0,3.5
2172,1.8,2.2,0.0
2627,0.0,0.1,3.0
3052,1.5,0.0,-0.0
2651,0.0,0.0,4.0
3731,0.0,0.0,4.8
2610,0.6,-0.0,0.0
3944,-0.0,-0.0,2.9
2011,0.0,-0.0,1.6
3334,0.0,-0.0,3.6
2456,0.0,-0.1,4.4
2871,-0.0,-0.0,5.0
3280,-0.0,0.0,0.9
2104,0.0,0.0,2.7
2341,0.0,-0.1,2.3
3181,0.0,0.0,2.1
2343,-0.1,0.0,1.0
2921,0.0,-0.0,2.8
2934,1.1,0.0,0.0
2814,-0.0,-0.0,2.8
3326,0.0,-0.0,3.2
3345,0.0,0.0,6.0
2863,0.0,-0.0,3.4
3854,0.8,-0.0,0.0
2662,-0.0,-0.0,0.7
2641,1.0,0.0,0.0
3071,0.0,-0.0,1.8
3367,0.0,0.0,4.9
3812,0.0,0.0,1.2
3116,0.1,-0.1,7.1
3541,0.1,-0.0,0.0
2588,-0.0,-0.0,1.2
3422,0.0,-0.0,1.9
2181,-0.0,0.0,1.3
