,y
2874,0.0
3827,0.0
3934,0.0
3326,0.0
2892,0.0
3230,0.0
3869,0.0
2291,0.0
3629,0.0
3030,0.0
3003,1.0
2477,0.0
2208,1.0
3983,1.0
2489,0.0
3071,0.0
3560,0.0
3637,0.0
3365,0.0
3442,0.0
3327,0.0
2041,0.0
3105,0.0
3775,0.0
3530,0.0
2394,0.0
3926,0.0
2580,0.0
2937,0.0
2040,0.0
2823,0.0
2652,1.0
2447,0.0
3113,0.0
3386,0.0
2609,0.0
2852,0.0
2566,0.0
2092,0.0
3341,0.0
3172,1.0
2059,0.0
2958,0.0
2548,0.0
2538,0.0
2584,1.0
3286,1.0
3082,0.0
3564,1.0
3054,0.0
2631,1.0
2323,0.0
2810,0.0
3253,0.0
3776,1.0
3220,0.0
2509,0.0
3473,0.0
2941,0.0
2586,0.0
3715,0.0
2055,0.0
2480,0.0
3336,1.0
3563,0.0
3060,0.0
2309,0.0
3930,0.0
3602,1.0
3027,0.0
2722,0.0
3262,0.0
3918,0.0
3045,0.0
2690,1.0
3487,0.0
3449,0.0
3764,0.0
3482,0.0
3301,1.0
2975,0.0
3816,0.0
3197,0.0
2921,0.0
3479,0.0
3812,1.0
2520,0.0
3895,0.0
2627,0.0
3463,0.0
3231,1.0
3766,0.0
3146,0.0
2136,0.0
3791,0.0
2298,0.0
2987,0.0
3540,0.0
2994,0.0
3901,1.0
2881,0.0
2045,0.0
2834,0.0
2934,1.0
2875,0.0
3819,0.0
3320,0.0
3806,0.0
2903,0.0
3270,0.0
3568,0.0
3382,0.0
2264,0.0
2479,0.0
2346,0.0
3344,0.0
2949,0.0
3434,0.0
2515,0.0
2741,0.0
2677,0.0
3777,0.0
3761,0.0
2865,0.0
3015,0.0
2708,0.0
2780,0.0
3868,0.0
3998,0.0
2021,1.0
2430,0.0
2410,0.0
2219,0.0
3648,1.0
3275,0.0
2151,0.0
3474,0.0
2678,0.0
3772,1.0
2490,0.0
2594,0.0
3378,1.0
3978,1.0
3673,0.0
3452,0.0
2604,0.0
2016,0.0
3430,0.0
2659,0.0
3864,0.0
2343,1.0
2458,0.0
3315,0.0
3349,0.0
2238,0.0
3640,1.0
3735,0.0
3552,0.0
3075,0.0
2024,0.0
3660,0.0
3535,0.0
2369,0.0
3737,0.0
2753,0.0
2841,0.0
3597,0.0
3762,0.0
2411,1.0
2950,0.0
2671,0.0
2935,1.0
2063,0.0
3516,0.0
2707,1.0
3810,1.0
2493,0.0
3684,0.0
2277,1.0
3574,0.0
2210,0.0
3731,0.0
3387,0.0
2166,0.0
2133,0.0
2742,0.0
2306,0.0
2833,0.0
2951,0.0
3019,1.0
2578,0.0
3140,0.0
2098,0.0
2703,1.0
2459,0.0
2863,0.0
3047,0.0
3842,0.0
3404,1.0
2380,0.0
