,u_x1,u_x2,u_y,u_x3
2000,-2.1857562,0.926275,0.6500145,0.10058056
2001,0.53044677,-0.55537164,0.6566236,0.44838315
2002,0.9444006,2.0313447,0.1476568,1.3098574
2003,-2.5947487,-1.3079926,0.14016533,-0.6299376
2004,-0.41799465,-0.97697616,0.6049725,-0.56164867
2005,0.25937897,0.18537153,0.37170172,-0.41528508
2006,0.60289675,1.5014371,0.5016222,0.19279593
2007,0.28722817,0.077768065,0.5636487,-1.265087
2008,0.43495592,0.23103714,0.71932983,0.44187987
2009,-0.46196204,0.12649712,0.29646766,1.1398433
2010,0.4448977,-0.91460073,0.2270937,0.45152494
2011,0.18796366,-0.10741107,0.7588973,-1.2931881
2012,0.45847046,-0.05566172,0.19569802,1.7108448
2013,1.0205691,0.38946852,0.079944015,-0.049369
2014,1.9976875,2.6710947,0.10276258,0.5502297
2015,1.2581079,0.25549355,0.5226054,1.0609173
2016,-0.6742905,0.7366113,0.9971266,-0.9680538
2017,-0.51206106,-1.1119777,0.4739852,-1.1124487
2018,-0.10873747,0.08781602,0.0627439,0.13935016
2019,0.0737231,-1.5580324,0.025869608,-1.4365134
2020,-1.9484918,-0.73932695,0.7355819,0.45817807
2021,-0.369787,0.4636724,0.1174345,-1.4255909
2022,-0.82444435,1.8598521,0.79651093,-0.19158737
2023,-1.3164293,0.30509582,0.3808638,1.6535705
2024,-0.2985822,-0.44093862,0.43175054,1.4019495
2025,0.3393864,-0.6597177,0.19628894,0.26154467
2026,0.82862616,-0.35229468,0.15850389,-1.3483657
2027,-0.44983697,1.3446567,0.7002361,0.82926327
2028,-1.0165701,-0.5487857,0.9865385,-0.44800276
2029,-1.9370815,-0.5925614,0.53110766,0.7759206
2030,1.7909712,1.1031874,0.01699555,0.70533246
2031,-2.132829,-0.4394453,0.37099242,1.6933957
2032,0.82782865,0.021232061,0.6977285,0.8720347
2033,-1.2193853,-0.8625318,0.8214818,0.15296362
2034,-1.0688967,0.11337262,0.20422542,0.86752844
2035,0.090819106,1.9135449,0.129776,0.23338185
2036,-0.20225887,-1.6068821,0.7565514,-1.581079
2037,-1.1830885,0.2277282,0.46696758,-0.28816515
2038,0.27031106,-0.4316975,0.612666,-1.660337
2039,1.5162423,-0.53784513,0.48686302,-0.09392759
2040,0.0322258,-0.23123094,0.92456234,-1.1532054
2041,0.12347622,-1.9795583,0.31458378,0.06259212
2042,-1.98741,-0.28114888,0.22069478,0.036115333
2043,0.1921098,-0.50121576,0.7291944,0.3575525
2044,-1.7309635,2.323945,0.5748383,-0.42948195
2045,0.22884767,-0.88927513,0.9300351,0.04274938
2046,0.5008724,-0.4028935,0.7996762,0.53404486
