ix,goal_cost,intv_cost
3752,1.0,5.3999999999999995
2268,1.0,4.2
3425,1.0,0.2
2581,1.0,0.7
2420,1.0,4.3
3262,1.0,1.3
3568,1.0,2.0
2510,1.0,0.3
3511,1.0,1.6
3101,1.0,2.4
3221,1.0,2.7
2615,1.0,0.8
3794,1.0,4.199999999999999
3625,1.0,0.1
3255,1.0,1.0
2216,1.0,3.8
3674,1.0,1.5
3256,1.0,1.9
2014,1.0,4.1
3866,1.0,2.7
3577,1.0,4.2
3671,1.0,1.5
3055,1.0,4.3
2564,1.0,5.199999999999999
2265,1.0,7.2
2190,1.0,1.8
3996,1.0,0.2
2224,1.0,1.0
2359,1.0,2.8000000000000003
2235,1.0,2.3
2862,1.0,1.2
2887,1.0,4.4
3167,1.0,0.5
3928,1.0,3.6
2944,1.0,1.6
3160,1.0,4.4
2708,1.0,2.4
2133,1.0,0.5
2678,1.0,2.6
2617,1.0,0.5
2229,1.0,2.4
3880,1.0,4.5
2395,1.0,5.0
3607,1.0,1.1
2500,1.0,2.9
3289,1.0,1.1
3363,1.0,1.9
3774,1.0,5.3
3847,1.0,2.4
2181,1.0,2.8
2659,1.0,4.699999999999999
2087,1.0,0.1
2445,1.0,1.9
3974,1.0,4.0
2364,1.0,4.1
3460,1.0,3.7
3870,1.0,1.8
3100,1.0,1.1
3641,1.0,0.2
3038,1.0,3.6
2456,1.0,0.2
3735,1.0,4.3
3699,1.0,3.5
3021,1.0,1.7
2052,1.0,0.2
3654,1.0,0.7
2574,1.0,5.6
2585,1.0,0.8
3622,1.0,3.6
2154,1.0,5.0
3712,1.0,1.7
3383,1.0,2.4
2178,1.0,1.2
2180,1.0,3.2
3437,1.0,1.5
3106,1.0,1.7000000000000002
2808,1.0,1.8
3651,1.0,2.5
2423,1.0,3.0
2425,1.0,3.1
2345,1.0,1.1
2614,1.0,0.9
2070,1.0,1.3
2355,1.0,2.7
3565,1.0,3.0
2898,1.0,2.2
3096,1.0,0.3
2091,1.0,3.3000000000000003
3816,1.0,0.9
3365,1.0,1.8
3575,1.0,0.3
2867,1.0,5.4
2707,1.0,0.7
3700,1.0,2.5
2580,1.0,4.9
3532,1.0,1.8
2692,1.0,1.0
3258,1.0,2.3000000000000003
2089,1.0,1.8
3875,1.0,2.6
3162,1.0,2.0
2026,1.0,2.5
2121,1.0,2.2
2880,1.0,5.1
3143,1.0,4.1
2730,1.0,1.7000000000000002
3979,1.0,1.4
2739,1.0,2.3
2560,1.0,0.4
2243,1.0,3.3
3453,1.0,2.0
3763,1.0,2.0
2291,1.0,1.4
2220,1.0,1.6
2432,1.0,1.8
3745,1.0,1.6
3288,1.0,0.2
2422,1.0,2.1
3675,1.0,2.1
3410,1.0,5.199999999999999
3004,1.0,2.7
2874,1.0,1.2
2755,1.0,0.7
2398,1.0,2.3
2011,1.0,2.5
3937,1.0,0.6
3910,1.0,5.9
3830,1.0,2.9
3062,1.0,3.9
3098,1.0,3.0
2283,1.0,0.4
3235,1.0,3.1
2828,1.0,2.9000000000000004
3206,1.0,5.4
3071,1.0,0.1
2271,1.0,2.2
2274,1.0,2.3
3543,1.0,0.2
2906,1.0,3.0
2242,1.0,2.8
3257,1.0,1.6
2562,1.0,1.7
2101,1.0,0.5
2511,1.0,1.4000000000000001
2020,1.0,4.9
2137,1.0,3.3
3966,1.0,2.3
2715,1.0,2.5
3747,1.0,4.1
3573,1.0,0.2
2697,1.0,2.0
3566,1.0,0.1
2538,1.0,4.1
2069,1.0,3.3
2196,1.0,1.5
3883,1.0,3.2
2720,1.0,2.0
2559,1.0,2.0
3955,1.0,3.4
2389,1.0,2.6
2493,1.0,2.1
3827,1.0,0.30000000000000004
3473,1.0,0.7
3471,1.0,2.6
3742,1.0,0.7
2768,1.0,5.3
3862,1.0,0.8
2780,1.0,1.3
2106,1.0,2.1
3487,1.0,3.6
2374,1.0,0.9
3736,1.0,2.1
2824,1.0,3.3
3962,1.0,5.5
2512,1.0,0.5
2999,1.0,1.5
2063,1.0,1.9
3371,1.0,2.9
3308,1.0,2.3
3900,1.0,2.2
3823,1.0,0.8
3790,1.0,0.8
2249,1.0,0.9
3734,1.0,2.7
2315,1.0,2.3
3912,1.0,2.1
3618,1.0,2.2
3772,1.0,0.3
2336,1.0,3.7
2135,1.0,2.8000000000000003
3751,1.0,3.4
2232,1.0,0.6
3422,1.0,2.6
2440,1.0,4.9
2080,1.0,3.3
3013,1.0,4.8
3306,1.0,1.7000000000000002
3706,1.0,2.3
2022,1.0,2.1
3717,1.0,5.2
