,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.75,0.75,0.7350000143051147,0.16500000655651093,0.945,0.75,"[1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[0.018881207989840085, -0.1183663068487428, 1.1345257571236111], [-0.6220407649792231]]",0.9319999814033508,2.0395
1,1.0,0.75,0.75,0.27000001072883606,0.20000000298023224,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[0.018881207989840085, -0.1183663068487428, 1.1345257571236111], [-0.6220407649792231]]",0.8279999494552612,2.1535
2,1.0,0.75,0.75,0.18000000715255737,0.18000000715255737,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[0.018881207989840085, -0.1183663068487428, 1.1345257571236111], [-0.6220407649792231]]",0.8390000462532043,2.284
3,1.0,0.75,0.75,0.699999988079071,0.17499999701976776,0.79,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[0.018881207989840085, -0.1183663068487428, 1.1345257571236111], [-0.6220407649792231]]",0.7689999341964722,2.5669999999999997
4,1.0,0.75,0.75,0.16500000655651093,0.16500000655651093,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[0.018881207989840085, -0.1183663068487428, 1.1345257571236111], [-0.6220407649792231]]",0.8209999799728394,2.1005000000000003
5,1.0,0.75,0.75,0.8100000023841858,0.15000000596046448,0.94,0.825,"[1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[-0.1842833641245193, -0.0009540770874338278, 1.0517014764801977], [-0.6131340902638476]]",0.9470000267028809,2.044
6,1.0,0.75,0.75,0.22499999403953552,0.14499999582767487,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[-0.1842833641245193, -0.0009540770874338278, 1.0517014764801977], [-0.6131340902638476]]",0.6520000696182251,2.1460000000000004
7,1.0,0.75,0.75,0.1850000023841858,0.1850000023841858,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[-0.1842833641245193, -0.0009540770874338278, 1.0517014764801977], [-0.6131340902638476]]",0.5670000314712524,2.3125
8,1.0,0.75,0.75,0.7200000286102295,0.14499999582767487,0.855,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[-0.1842833641245193, -0.0009540770874338278, 1.0517014764801977], [-0.6131340902638476]]",0.8639999628067017,2.8175
9,1.0,0.75,0.75,0.1850000023841858,0.1850000023841858,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[-0.1842833641245193, -0.0009540770874338278, 1.0517014764801977], [-0.6131340902638476]]",0.5619999766349792,2.362
10,1.0,0.75,0.75,0.7599999904632568,0.17499999701976776,0.955,0.765,"[1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[0.1958998814421482, -0.11705924986972059, 1.027468136939806], [-0.5318221344868209]]",0.9539999961853027,2.015
11,1.0,0.75,0.75,0.26499998569488525,0.17499999701976776,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[0.1958998814421482, -0.11705924986972059, 1.027468136939806], [-0.5318221344868209]]",0.7140000462532043,2.0845000000000002
12,1.0,0.75,0.75,0.19499999284744263,0.1899999976158142,0.87,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[0.1958998814421482, -0.11705924986972059, 1.027468136939806], [-0.5318221344868209]]",0.6179999113082886,2.3605
13,1.0,0.75,0.75,0.6949999928474426,0.1850000023841858,0.765,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[0.1958998814421482, -0.11705924986972059, 1.027468136939806], [-0.5318221344868209]]",0.7540000081062317,2.623
14,1.0,0.75,0.75,0.17000000178813934,0.16500000655651093,0.88,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[0.1958998814421482, -0.11705924986972059, 1.027468136939806], [-0.5318221344868209]]",0.6570000052452087,2.323
