,x1,x2,x3
3597,-0.46127558,-2.052577,0.62220556
2734,-0.30998418,-1.1474657,0.5988882
2581,-0.4898424,-0.93308514,0.58833075
2516,0.23909397,-0.5338573,0.54768664
2314,-1.0671248,-1.7113374,0.55883473
2319,-0.71742845,0.02122289,0.5506284
3224,0.039539345,-0.3815846,0.5275549
3500,-0.6833412,-0.87315816,0.568534
3648,-0.6306647,0.15616769,0.53981483
3035,1.1101584,-1.3282993,0.64982444
3237,0.1379901,-0.512036,0.61805785
2684,-0.81088674,-0.17318004,0.54988754
3767,-0.54750085,-0.9596411,0.565164
3696,-1.3173815,0.37134504,0.4661999
3051,-0.61406994,-0.3969111,0.5917456
2211,0.11582218,1.3451982,0.54151535
3664,-1.4514875,-3.1870008,0.50310457
2892,0.21804115,-0.8009043,0.58257747
2942,-0.60451573,1.2118194,0.48293748
3486,-0.4080875,-1.0786191,0.5215943
3334,-0.49452195,-1.9262124,0.5510893
2878,-0.8086031,-0.89709336,0.5278395
3928,-0.920967,-1.6165398,0.5048639
3340,-1.0435284,-0.91383356,0.5692464
3930,0.0026882028,-0.6922535,0.54737973
2640,-1.0477011,-3.1367304,0.54965174
2594,-0.18927787,-1.005529,0.5386802
2147,0.39993244,-0.14588177,0.5514871
2661,-2.3828216,-1.9718285,0.52609134
3092,-0.17090355,-1.002732,0.5801035
3708,0.48955014,-0.2192921,0.5446323
2997,-0.712321,0.8187074,0.53067935
2948,-1.1179972,0.08079231,0.4959429
2820,-1.829567,-2.5271463,0.5375892
2281,-0.011968282,-1.2821462,0.5700859
2650,-0.51087177,-0.55905336,0.5679812
2419,-1.8546017,-0.75384104,0.4562523
2180,-0.31410176,-0.42704627,0.5489885
3491,-0.0978592,-1.3484915,0.596042
2448,-0.60108036,-0.33571345,0.51557755
3783,-0.21879995,-1.5035264,0.60034525
2543,-0.5397253,-2.633073,0.6192497
3011,0.26373702,-0.14863649,0.5862218
2033,-0.08347406,-1.2572786,0.61082673
3474,-0.44425303,0.8799793,0.5295039
3612,-1.1002134,-3.5473146,0.60356694
3327,-0.36187088,-1.6014874,0.6132536
2600,-1.3281233,-0.42916262,0.53079426
3670,-0.9159552,-1.8964735,0.6254037
2551,-0.11108984,-2.3100104,0.56937486
2376,-0.43994692,-1.3275279,0.57449085
2552,-1.5809581,-1.0499511,0.49997136
3914,-0.5621862,-1.1192911,0.55900913
3838,0.36946175,-0.43435392,0.63401574
2054,-1.2692286,-0.41132262,0.55986905
2953,-0.7448458,-2.9517956,0.5418087
2934,0.046116143,-1.3053367,0.5968106
2133,-0.21725923,1.1453936,0.50631696
2539,-0.6167989,-1.0490268,0.5971048
3428,-0.2624067,-0.28080413,0.59162104
3566,-2.2597518,-2.076425,0.47596902
3378,-1.07948,-1.4778752,0.5072378
2611,-0.2655803,-1.9913436,0.57514554
2213,-2.0333276,-2.081397,0.47491455
3048,-1.1147568,-1.310304,0.50871193
2435,-0.07898334,-0.46310833,0.6158978
3143,-0.06236263,-0.45703363,0.5515335
3685,-0.33395362,0.07739714,0.5541352
3175,-0.12864341,-0.6728886,0.5600955
3354,0.02282781,-1.2993875,0.5435353
3063,-0.71526915,-2.422359,0.60028374
2177,-0.81715107,0.28804505,0.50039935
3932,-0.9307218,-1.2936636,0.58144146
2169,-0.7759133,0.19003946,0.5710208
2506,-0.89924073,-0.983128,0.5887622
2673,0.600521,0.56956774,0.5921613
3024,-0.28114608,-1.8828114,0.61828667
2487,-0.33104163,-0.5672598,0.6087443
