,y
2672,0.0
3399,0.0
3457,0.0
2602,1.0
2812,0.0
2871,1.0
2749,0.0
2657,1.0
3984,0.0
3907,0.0
3994,0.0
2473,1.0
2055,0.0
3686,0.0
2986,0.0
3152,0.0
3320,0.0
3892,0.0
3925,0.0
3610,0.0
3288,0.0
2259,0.0
3089,0.0
2582,0.0
3187,0.0
3291,0.0
2929,1.0
2879,1.0
3087,0.0
2091,1.0
3934,1.0
3163,0.0
3902,0.0
3440,0.0
3813,1.0
3825,0.0
3595,0.0
3568,1.0
3761,0.0
3049,1.0
2269,1.0
2178,0.0
3039,0.0
3228,0.0
3541,1.0
3772,1.0
3804,0.0
2740,0.0
3060,0.0
3715,1.0
3071,0.0
2932,0.0
2709,1.0
2568,0.0
3392,0.0
2730,0.0
3322,0.0
2514,0.0
2046,0.0
3090,0.0
3050,0.0
2233,1.0
3682,1.0
2785,0.0
3119,0.0
3431,0.0
2205,0.0
2727,1.0
3267,0.0
2915,0.0
3954,1.0
3918,1.0
3618,0.0
2275,1.0
2153,1.0
2270,0.0
3992,1.0
2168,0.0
2704,0.0
3840,0.0
3223,1.0
3906,0.0
3013,1.0
3061,0.0
2798,1.0
2454,1.0
3696,1.0
3766,0.0
2606,0.0
3178,0.0
3420,0.0
2383,0.0
2950,0.0
2911,1.0
2494,0.0
2807,0.0
3864,1.0
2643,0.0
3010,0.0
3873,0.0
2308,1.0
2442,0.0
2849,1.0
3716,0.0
2511,1.0
3868,1.0
2081,1.0
3312,1.0
2497,0.0
3915,1.0
2393,0.0
3377,0.0
3910,0.0
3459,1.0
2289,1.0
3495,0.0
2043,0.0
3963,0.0
3582,0.0
2331,1.0
3300,0.0
2573,0.0
3616,0.0
2567,0.0
2406,1.0
3246,0.0
3323,0.0
2673,0.0
2188,0.0
3631,0.0
3703,0.0
3448,0.0
2640,1.0
2092,0.0
2150,1.0
2680,0.0
2762,1.0
2778,0.0
2314,0.0
2225,0.0
2540,0.0
2039,0.0
3395,1.0
3704,0.0
3589,1.0
3390,0.0
3241,0.0
2824,0.0
3680,0.0
2179,0.0
3327,1.0
2273,0.0
2564,0.0
3264,0.0
3160,0.0
2034,0.0
2505,0.0
3537,0.0
2075,1.0
3190,0.0
3483,0.0
2060,1.0
3533,1.0
3134,0.0
3382,0.0
3201,0.0
3554,0.0
3142,0.0
2691,0.0
2372,0.0
2964,0.0
2087,0.0
2566,0.0
2268,1.0
2457,0.0
3444,0.0
3211,0.0
3109,1.0
2458,0.0
2544,1.0
3817,0.0
3202,0.0
2815,0.0
3086,0.0
3869,1.0
3605,0.0
2946,1.0
3137,0.0
3482,0.0
2005,0.0
2401,0.0
3180,0.0
2323,0.0
2736,0.0
3980,0.0
3326,0.0
2714,1.0
3298,1.0
2349,0.0
2223,1.0
