,x1,x2
3670,2.1,1.8
2041,0.0,1.8
3964,2.3,3.3
3983,1.3,0.0
3007,1.2,-0.0
3839,2.7,2.1
2871,1.1,-0.0
3164,1.9,0.0
2665,1.9,-0.0
2432,2.0,2.6
3598,0.9,0.0
3002,1.3,-0.0
3326,0.5,3.8
2886,0.7,2.3
3413,3.4,0.0
2815,0.1,2.6
2457,0.3,4.2
2497,1.4,0.0
2727,0.7,2.6
2282,0.9,-0.0
2544,1.6,-0.0
2108,-0.0,2.3
2973,0.8,1.3
3382,2.0,0.0
3684,0.7,3.8
2949,1.1,-0.0
2527,1.0,0.0
3008,1.6,2.1
3937,1.0,0.0
2139,2.7,-0.0
2636,1.3,0.0
2447,0.7,5.7
3119,3.5,1.5
2005,1.8,4.0
2209,0.9,-0.0
2916,2.6,0.0
2632,0.2,4.6
3173,1.1,-0.0
3647,1.3,2.3
2737,1.4,1.8
3892,1.6,0.0
3814,1.9,-0.0
2438,2.2,-0.0
3628,1.5,0.0
3241,1.9,0.0
2335,2.1,0.0
3109,1.4,2.6
2451,2.5,1.8
3492,1.1,-0.0
2855,1.2,0.0
2137,2.7,0.0
3922,2.2,0.0
2205,1.5,-0.0
2088,2.5,0.0
2481,1.5,-0.0
3809,2.0,0.0
3103,2.0,2.6
3276,1.9,0.0
3198,3.1,0.0
2697,2.5,-0.0
3090,1.0,0.0
2933,1.0,0.0
2655,1.5,0.0
3760,1.3,-0.0
3972,0.4,1.8
2830,1.3,2.3
3136,0.8,-0.0
3532,1.0,0.0
3459,2.9,-0.0
2950,1.9,3.6
2371,1.2,-0.0
3710,0.9,1.6
2431,2.2,4.2
3805,1.4,-0.0
3841,2.0,-0.0
3105,2.5,-0.0
3538,1.9,0.0
3327,2.4,0.0
2621,2.0,0.0
2154,2.1,2.6
2147,0.4,3.1
3278,1.1,1.9
3605,1.6,-0.0
2556,0.9,0.0
3935,2.4,-0.0
3651,2.1,3.6
3419,1.8,-0.0
3323,1.6,0.0
2415,1.6,0.0
3153,1.3,-0.0
3025,2.1,0.0
2144,1.5,1.4
3253,3.6,3.6
3631,2.8,2.5
2671,0.9,0.0
2564,2.1,4.7
3403,1.2,0.0
3575,2.8,1.9
3840,0.8,1.8
2299,1.2,-0.0
3884,1.3,0.0
2090,0.1,2.3
3046,0.6,2.1
3192,1.2,0.0
3097,0.7,2.6
2858,1.6,3.1
3114,3.0,-0.0
2067,2.6,1.9
3297,0.9,0.0
3869,1.3,-0.0
2153,2.8,4.2
3617,2.3,0.0
3021,1.8,-0.0
2195,-0.0,2.1
3024,1.5,4.2
2008,2.2,-0.0
2667,1.5,0.0
2413,1.5,-0.0
2586,1.8,-0.0
3752,2.3,0.0
3563,2.6,5.1
2619,1.3,0.0
3453,1.9,3.1
2341,0.9,0.0
3059,0.4,1.8
3069,1.8,-0.0
2055,1.8,0.0
3761,1.3,2.8
2567,1.3,0.0
2723,1.4,0.0
2311,1.1,3.6
2685,1.0,-0.0
2715,0.7,2.1
2691,1.0,0.0
3794,2.3,3.8
2192,1.2,-0.0
3033,1.3,2.5
2401,1.1,0.0
3881,1.3,3.7
2797,1.0,3.6
3634,1.9,0.0
2483,3.4,3.6
2169,2.6,0.0
2683,1.5,-0.0
3298,2.1,-0.0
3068,2.0,0.0
2867,0.0,2.3
3609,1.3,0.0
2573,1.7,0.0
3817,2.1,-0.0
2804,1.3,2.5
2491,1.8,-0.0
3559,2.6,2.1
3196,1.2,-0.0
3931,1.4,3.6
2743,1.5,-0.0
2795,1.5,-0.0
3971,2.0,-0.0
3659,1.8,0.0
3312,2.0,-0.0
2162,1.3,-0.0
3959,2.3,0.0
3623,2.6,-0.0
2836,2.6,4.2
2612,1.2,-0.0
2044,1.1,0.0
2263,1.7,-0.0
2186,1.5,-0.0
2533,1.5,0.0
3267,0.9,0.0
2534,0.7,4.6
2454,1.9,-0.0
2255,1.2,-0.0
3832,1.8,3.6
3673,0.9,0.0
3411,2.3,2.1
3715,1.5,3.8
2202,2.0,0.0
2679,1.0,0.0
3264,1.7,-0.0
3596,2.5,0.0
3683,1.8,-0.0
3495,1.0,-0.0
3162,1.1,-0.0
3720,1.1,0.0
3015,0.6,5.6
2620,2.8,0.0
2177,0.8,0.0
3087,0.3,1.4
3386,1.4,-0.0
3743,2.1,0.0
2043,3.8,2.1
2274,2.1,2.2
2984,1.1,-0.0
2082,2.6,-0.0
3175,1.9,3.1
2631,2.3,3.1
2270,1.2,-0.0
3953,1.5,-0.0
2087,2.1,0.0
