,x1,x2,x3
2273,-0.84543675,-1.1567006,-2.2289913
3537,-1.1815096,-3.4113603,-6.592064
3867,-0.5870524,-0.17784116,-0.24329829
2288,-0.57363534,-0.16932791,0.2756912
2614,0.53040206,-0.6622515,0.41524523
3291,0.17749622,-0.9375249,-0.15265495
2874,-1.1899294,-2.2888405,-3.649288
3169,-0.81098384,-0.7521712,-1.5424263
2343,-0.16638081,-0.6759858,-1.2538819
2130,-1.2854096,-2.0878458,-3.1750333
3262,-0.046707384,-0.718594,0.07734889
3873,-0.8787515,-0.5981657,-1.133282
2964,-0.9138951,-0.19051069,-1.4735961
3814,0.120635234,-0.82125014,-1.2498193
2794,-1.0964545,-0.9847662,-2.752339
3117,-1.1532112,-1.8974392,-4.307331
3481,-0.43304592,-2.312462,-0.96480167
2182,-0.33947837,-1.5538225,-2.507198
3083,-0.2551921,-1.393534,-2.2038124
3412,-0.94545573,-0.33377427,-2.5231814
3758,-0.42689925,-1.5919802,-2.400277
3290,-0.06593452,-1.667713,-0.23975515
2483,0.42269385,-0.000744611,0.12831497
2176,-1.848123,-1.3714063,-3.2967322
2139,0.45706922,0.21180803,0.33561575
2138,-0.07025341,-0.76204216,-1.3934171
3836,0.53393525,-0.79048413,-0.33356273
3703,-1.5399017,-1.1941423,-2.8535113
3074,-0.4637394,-0.5258242,-0.51361245
3118,-0.880124,-0.47144356,-1.5310264
3697,-0.8178874,-1.0079618,-1.2720654
3897,0.41232,-0.21274224,-0.39968145
2153,-0.33809513,-0.6056589,-0.49039906
2565,-0.700328,-1.315144,-1.6356292
3653,-0.30861938,-1.3583009,-1.8728956
2347,-0.7571848,1.0477464,0.14935091
3149,-0.81641155,-0.4389325,-2.5253801
3157,-1.0333766,-1.9362304,-2.7257514
3223,-0.6487676,-0.5834049,-1.8822026
2075,-0.7826174,-0.31752545,-1.9674765
2797,-0.17680459,-0.013597399,-0.25501096
2170,-0.8018315,-0.83964807,-1.0964875
2259,0.26959488,-0.3093761,0.23505175
3312,-0.6308462,-0.032114506,-0.7907346
2460,0.42214435,-0.19823945,-2.962586
3603,-0.26895025,-1.4465749,-1.8130664
2374,0.0056112213,-1.4443307,-2.745831
3905,0.56071573,-1.0306606,0.36429352
3468,-1.5340873,-1.2912918,-2.154244
3826,-0.44576636,-1.2000762,-0.51196206
2007,-0.8380287,-1.3022287,-1.4213364
2247,-0.809666,0.00949651,0.2743262
2350,-1.285043,-1.3353467,-4.74933
2669,-1.3266544,-0.18800724,-1.9083589
2553,-0.11852506,-1.296069,-1.8263931
3818,-0.2712309,-1.5785211,-0.019989312
3249,-0.51829004,-1.0358987,-2.208195
2155,0.3540253,0.33143646,-1.0477277
3219,-1.1366692,-0.53768116,-2.4990327
2156,-0.5730201,-1.2511922,-1.6149188
3323,0.20948894,-0.96149427,-0.51166683
3910,-0.36056507,-0.40398604,-2.3725913
2286,-0.6430025,-0.69961476,-0.37732947
3325,0.05810414,-0.94352555,-0.008806348
2455,-0.44436783,-1.0454803,-1.448803
3180,-0.062948555,-2.2530704,-2.2577174
3633,-1.0488954,-0.4922244,-2.3110614
3260,0.42552215,-0.25875908,-1.8487382
3585,-0.41139188,-1.1782837,-0.6051806
2141,-2.3260698,-2.0714629,-4.206264
3480,0.0069021205,-0.8773387,-2.8429406
3945,-1.1960523,-0.4618864,-2.353882
2011,-1.1341877,-1.9202361,-2.6197362
3238,-0.9725274,-0.85947025,0.48305106
2935,-0.5679557,-0.9126749,-1.5850025
2358,0.40369335,-1.1623266,-1.7297429
2231,-0.81374484,-0.83104396,-1.7444949
3491,-1.8868903,-0.80801034,-2.6275587
3557,-0.58056736,-0.21485057,-0.5536317
3895,-1.0197268,-0.3351009,-1.7881569
3377,-0.23455545,0.49614063,0.38178155
3050,-0.9791629,-0.26277435,0.061056137
2798,0.021522274,-1.2539039,-1.7569543
3587,-0.4084207,-1.7046881,-2.2816613
3921,-1.290857,-2.8069053,-3.994611
2367,0.58611137,-0.021674514,-0.8733825
3710,-0.15760225,-0.08020193,-0.69666386
3104,-0.4244414,0.68470985,0.16973281
2399,-1.1328192,0.55096745,-0.5744159
2835,-0.9540452,-0.81108934,-0.8097204
3982,-1.0287548,-1.6362488,-2.9332774
3923,0.035840847,-1.0974286,-3.2173223
2812,-0.8674041,0.14945936,-1.8882513
2922,-0.7148674,-0.65375787,0.099929035
3748,-0.5908829,-1.5420333,-0.639652
3961,-1.2772263,-2.0636172,-2.5028028
2999,-0.06000806,-0.61753523,-0.7034677
3181,-0.8922819,-2.6755342,-3.605161
3507,-0.4383345,-0.834262,0.5892675
3490,-0.29925716,-0.98333675,-0.78911936
3343,0.046059307,-1.0481441,-1.5284809
3784,-1.0592781,-1.6880122,-2.997767
2128,-0.5978562,-1.2874484,-1.5854167
3856,-1.1058246,-1.2774441,-1.4534178
2543,-0.256781,-0.1017331,-0.42433286
2828,-0.7001684,-1.0530722,-2.607369
2276,-0.9710091,-0.5833384,-0.7467743
3190,-0.4965869,-0.99210656,-0.5328063
3097,-0.098705925,-0.04551411,0.3444488
3813,-1.2300848,-0.3993271,-1.347306
3286,-1.3908304,-1.2183852,-1.1221129
3520,-1.3970157,-2.080927,-4.0099707
2920,-1.7242087,-1.6222835,-2.7991927
2026,-0.028166806,-0.47930616,-0.09372014
3174,-0.29479858,-0.7803261,-0.08161479
3898,-0.30405432,0.06812334,-2.5941556
3423,-0.27949053,-1.4572341,-0.54316425
2441,-1.8652438,0.14953029,-1.1585333
2586,0.002120157,-1.4095511,-0.0349015
2549,-0.42923817,0.1323817,0.18324882
2990,-0.70198923,-1.5734715,-2.985382
3729,-1.4563034,-0.98618746,-2.9775753
3776,-1.137437,-0.4465201,0.7980453
3663,0.29566708,-0.4371381,-0.46171686
2783,-0.99443185,-0.97218597,-1.7730114
3380,-0.37546232,-2.5015073,-0.6143117
2782,-0.4492158,0.33261302,-1.299858
2908,-0.3472267,-1.6790397,-2.313932
3215,1.0576454,-1.3051821,0.3374585
3449,-0.83773154,-1.0872171,-2.204173
3039,-0.57378155,-1.0593958,-1.1953491
2330,-0.88071924,-2.6109574,-2.1711206
3698,-0.33649018,-0.698795,-0.63856274
2575,-0.75138295,-0.30345106,0.21858856
2750,-1.0006319,-0.049016178,-1.9797311
