,y
3152,1.0
3527,0.0
3810,0.0
2243,0.0
3343,1.0
3197,0.0
2200,0.0
2964,0.0
3628,0.0
3400,0.0
3794,0.0
3044,0.0
3936,0.0
2627,0.0
2131,0.0
3548,0.0
3606,1.0
3410,0.0
3212,0.0
2203,0.0
3366,0.0
2318,0.0
2436,1.0
3851,0.0
3845,0.0
3333,0.0
3077,0.0
2327,0.0
2631,0.0
2281,1.0
2452,0.0
2424,0.0
3829,0.0
3739,0.0
3219,0.0
2712,0.0
2539,1.0
2145,0.0
3918,0.0
2508,0.0
2418,0.0
2734,0.0
2407,0.0
3800,0.0
3330,0.0
3012,0.0
3344,1.0
3577,0.0
3320,0.0
2522,0.0
3258,0.0
3305,0.0
2683,0.0
3846,0.0
2757,0.0
3532,0.0
2062,1.0
2834,0.0
3045,0.0
2700,0.0
2815,0.0
3394,0.0
3461,0.0
2268,0.0
2440,0.0
3308,0.0
2184,0.0
2052,1.0
3249,1.0
2994,0.0
2801,0.0
3750,1.0
3368,1.0
3996,1.0
2465,0.0
3558,0.0
3145,1.0
3543,1.0
3134,0.0
3224,1.0
2086,0.0
2850,1.0
2176,0.0
2858,0.0
3381,0.0
3416,0.0
3454,0.0
2219,0.0
2434,0.0
3274,1.0
3365,1.0
2272,0.0
2348,0.0
3706,0.0
3099,0.0
3905,0.0
3692,1.0
3314,0.0
2983,0.0
2069,1.0
3913,0.0
2932,0.0
2969,0.0
3818,0.0
3329,0.0
3359,0.0
3168,1.0
3240,0.0
2312,0.0
2955,0.0
3431,0.0
3031,0.0
2857,0.0
3138,0.0
3020,1.0
3592,0.0
3910,0.0
2997,0.0
2484,1.0
2077,0.0
2075,0.0
2218,0.0
2063,0.0
3511,0.0
3888,0.0
2475,1.0
2989,0.0
2864,1.0
2001,0.0
2571,0.0
2406,0.0
3184,1.0
2207,0.0
2920,0.0
2026,0.0
2589,0.0
3418,0.0
3831,0.0
2756,0.0
3847,0.0
2212,0.0
3882,0.0
2412,1.0
2374,0.0
3446,0.0
3453,0.0
2115,0.0
3499,0.0
2040,0.0
2501,1.0
3053,0.0
3824,0.0
2005,0.0
2161,0.0
2926,0.0
3081,1.0
2687,0.0
2812,0.0
3743,0.0
2883,0.0
3148,0.0
3783,0.0
2262,0.0
2321,0.0
3115,0.0
2713,1.0
3456,1.0
2263,0.0
3621,0.0
3755,0.0
3144,0.0
3520,0.0
3990,0.0
3157,0.0
3684,1.0
3574,0.0
2861,0.0
2623,1.0
2877,0.0
3519,0.0
2951,0.0
3863,0.0
3951,0.0
3432,0.0
2717,0.0
3147,0.0
3298,0.0
3426,0.0
3170,0.0
3866,0.0
3906,0.0
2676,0.0
2093,0.0
3559,0.0
2694,1.0
2160,1.0
2260,0.0
2431,0.0
2695,0.0
3921,0.0
