,x1,x2,x3
2288,2.0912833,1.0132236,2.0171406
2810,1.4203303,1.03649,3.12455
2499,-0.27046922,2.490574,3.3108103
3551,0.6447255,1.3064916,3.9114594
2430,1.1766335,1.6350014,3.6519234
2943,0.21420337,2.3764396,3.3822644
2005,0.19571526,2.6859574,2.5320358
3513,1.2122871,1.8722234,3.2722566
3808,0.97157854,1.9148065,3.1557856
2934,1.2191645,1.534759,1.8373431
2591,0.92854553,2.2145288,3.1469927
2911,1.5837425,0.73028266,2.4595618
3075,0.25462142,1.8455878,3.095681
3145,1.2534279,0.86743027,4.3745313
2117,1.916854,0.4113418,4.086996
3657,1.1529545,1.2474515,2.5653777
3199,-0.35208133,2.571355,3.790902
2036,1.0485028,1.2786937,3.3873963
2549,0.9276625,1.2740779,3.0237215
2635,1.1987127,1.2342782,3.5401864
2422,0.7737485,0.9815637,4.585562
2414,1.1343839,1.0113726,3.0311677
3028,0.5384008,1.4724004,2.5545974
2146,0.9566647,1.4432251,2.8369656
2474,1.5896058,0.65231884,3.2166052
3463,0.61423105,1.6952894,4.2485933
2326,0.57238936,2.1046348,2.0918908
3866,1.6246665,0.8044751,2.4170308
2723,1.36987,0.9705164,3.262172
3737,1.1818265,1.2208477,2.813881
3775,1.7211177,1.0523204,2.8590565
3764,0.811303,1.6507771,3.5262785
3840,1.4287925,0.98643696,3.6963863
2035,0.9202187,1.4861035,3.1309261
3157,0.2916351,1.6485684,4.4695716
2944,0.9274185,1.874713,2.3035839
2451,1.1390114,1.6801708,2.996152
2155,1.3039961,1.0226297,3.3266363
3732,0.8331535,1.2667031,3.9935184
2738,1.0415543,1.5733984,2.8407164
3222,1.209016,1.3528249,3.4041798
2214,0.9679204,1.6045934,3.1082692
2958,0.4231708,2.2153413,2.5809093
3851,1.1612848,1.2013973,1.9759238
2038,0.8390423,1.439645,1.5687504
3172,1.1955606,1.818099,2.3828979
3778,0.7884574,1.4533701,3.2694917
2457,1.5751421,0.8846171,2.751302
2124,0.6151687,1.636486,4.3417926
2280,1.0561196,1.3153903,3.1781933
3742,0.26654777,2.4289126,3.1127267
2793,1.0023109,1.2377677,3.1465008
3487,1.6460928,1.0845137,3.4916987
3179,-0.18777747,2.371881,3.0431793
3708,0.023576427,2.0769448,3.6102974
2366,1.3148121,1.901636,2.9931176
3897,1.5388317,0.6106203,3.0772865
2731,1.5511922,0.58307713,2.8469164
2661,2.2535932,0.23161983,3.215137
3087,0.3966772,1.963218,2.4897144
3318,0.6148118,1.6967232,1.8339006
2476,0.9434789,1.4193956,2.0722973
2089,1.3696098,1.0539966,3.5850325
3959,0.2274029,2.1209052,3.0017033
