,x1,x2
2797,1.4,2.2
2064,3.3,4.5
3221,1.7,5.6
3163,1.5,3.0
2307,1.9,1.1
2639,0.7,1.4
3927,1.8,1.8
2913,2.0,3.6
3991,1.1,2.8
3808,1.1,0.6
2036,0.5,2.1
3959,2.2,2.8
2377,1.4,1.7
3851,2.1,0.9
3610,0.2,2.8
3352,0.8,1.9
2994,0.7,2.0
2738,2.3,2.1
2381,2.6,2.8
2659,2.4,0.3
2207,1.8,2.0
3056,1.5,1.3
2238,2.1,3.0
2905,1.0,1.9
3657,0.9,2.3
3949,1.1,1.9
2016,3.0,1.2
2246,1.1,1.5
3446,3.2,1.2
3181,0.1,2.7
2735,1.4,4.6
3316,0.8,3.1
3202,2.0,2.6
3232,2.0,3.3
3678,1.0,4.1
2605,0.2,0.7
2454,0.7,2.0
2975,1.8,2.8
2276,1.0,2.0
2855,1.5,3.5
3361,0.4,1.3
2129,1.0,2.9
3902,0.8,1.7
3621,1.8,2.6
3253,2.6,3.7
2586,0.3,2.3
2795,2.0,3.5
3718,2.0,1.7
3818,3.0,1.5
2298,2.7,2.1
2800,0.6,0.5
3926,0.1,0.3
3300,1.4,3.2
3340,1.9,3.9
2951,0.8,2.3
2089,1.4,2.1
3154,1.8,2.5
3356,0.2,0.8
2183,3.1,0.0
3704,0.9,6.2
3683,0.8,1.6
3595,0.6,2.1
3206,0.5,2.1
3673,2.1,2.3
3760,0.5,3.8
2413,0.2,2.7
3407,0.8,0.9
2598,0.7,3.6
3434,0.2,2.6
3289,0.9,1.5
2836,2.8,4.3
2132,2.0,1.5
3592,1.8,1.3
2893,0.3,3.9
2995,1.0,2.0
2580,2.0,3.0
2099,2.1,1.3
3582,2.7,1.3
3132,1.5,2.0
3771,0.9,2.0
3424,1.2,1.6
3343,0.7,4.6
2652,0.5,0.5
3225,1.3,3.1
3958,1.3,1.8
3505,0.8,1.8
3385,1.2,2.3
3404,1.6,1.7
2384,0.7,1.0
2383,2.1,2.3
2618,0.7,3.1
2005,2.3,0.3
3674,0.2,1.7
2422,0.6,3.5
2506,3.2,2.7
2385,0.1,2.6
2798,0.8,1.3
2707,0.9,2.3
2205,3.1,1.6
3829,0.5,0.6
3945,2.1,1.3
3805,0.5,2.4
2914,2.7,4.3
2759,0.6,2.9
3788,0.7,2.1
2920,2.4,4.2
3961,2.8,0.8
2464,2.1,0.8
2131,1.8,1.8
3732,2.2,1.8
2751,1.1,3.6
2128,1.5,1.3
3230,0.1,3.6
2167,0.5,3.0
2011,1.2,4.5
2867,1.5,0.9
2111,0.4,2.6
2102,0.7,2.8
3660,2.1,2.0
2771,3.3,3.8
3447,0.8,1.1
2788,2.1,1.6
3436,2.5,3.3
2275,1.5,1.5
2515,2.0,2.6
3963,0.0,2.1
2508,1.4,0.1
3854,0.9,3.6
3237,2.0,3.3
3184,0.3,1.5
2274,0.5,1.8
2072,1.4,1.9
2148,0.9,2.1
3090,1.0,1.8
3294,1.4,2.2
2302,-0.0,1.5
2301,0.4,2.0
3724,1.8,1.1
3327,1.4,1.5
3301,0.7,1.8
3439,1.5,0.6
3383,1.0,3.1
2440,1.4,2.6
3635,1.5,0.2
2934,0.1,2.1
2228,2.1,1.4
2177,0.8,3.5
3542,2.0,1.7
2218,0.6,2.5
2451,0.2,1.8
2596,1.1,0.3
3913,0.7,2.1
2965,0.3,3.3
2116,2.8,1.5
2204,3.0,3.6
2056,0.6,3.8
2121,1.6,2.7
2778,1.5,1.0
3152,0.8,1.4
3583,1.8,4.0
2357,2.2,2.3
2523,0.4,3.6
3677,0.7,2.1
3575,3.2,2.5
2212,1.1,1.8
3878,0.2,2.9
2978,1.3,1.9
3774,2.4,1.1
2474,1.6,1.7
2736,0.6,2.0
3149,0.6,2.1
2465,1.3,0.2
3671,0.5,0.3
3036,0.5,1.4
2398,0.9,0.8
3733,0.3,1.3
2753,-0.0,2.3
2993,2.8,3.9
3499,0.9,1.8
2160,2.8,1.7
3934,1.9,2.0
3350,3.5,2.7
2326,0.9,2.1
2199,2.1,3.0
2420,1.9,1.4
3070,2.0,2.5
3611,2.5,0.6
2819,1.9,1.7
3900,1.4,2.3
3138,0.5,3.7
2763,1.8,1.9
2336,1.6,2.2
3918,1.4,1.4
2192,0.7,1.8
2156,2.0,1.9
3924,1.5,1.0
3134,0.7,1.0
2835,-0.0,2.8
2222,0.6,2.1
3892,2.3,1.6
