,h_post,h_post_individualized
2954,1.0,
3375,1.0,
2398,1.0,
3518,1.0,
2015,0.18000000000000002,
3138,1.0,
3664,1.0,
2974,1.0,
2403,1.0,
2528,1.0,
3456,1.0,
3000,0.9800000000000001,
3351,1.0,
3877,1.0,
3995,0.82,
3144,1.0,
2036,1.0,
2629,1.0,
3715,1.0,
2358,1.0,
2563,1.0,
3481,0.92,
3431,1.0,
3057,0.0,
2927,1.0,
2738,1.0,
3314,1.0,
2379,1.0,
3434,1.0,
2649,1.0,
3547,1.0,
2750,0.0,
2094,1.0,
3752,1.0,
3861,1.0,
2303,0.2,
3766,1.0,
3819,1.0,
3573,0.0,
2253,1.0,
2390,1.0,
3382,1.0,
2061,1.0,
3273,1.0,
2083,1.0,
2414,1.0,
3622,1.0,
3243,1.0,
3364,0.94,
3311,1.0,
3950,1.0,
3218,1.0,
2666,1.0,
3661,1.0,
2184,1.0,
3188,1.0,
3106,1.0,
3605,0.0,
2873,1.0,
3027,1.0,
3597,1.0,
2087,1.0,
3686,1.0,
2155,1.0,
3859,1.0,
2945,1.0,
3915,1.0,
2260,1.0,
2577,1.0,
2000,1.0,
2405,1.0,
2780,1.0,
2082,0.8,
2884,1.0,
2781,1.0,
3279,0.9,
2300,1.0,
3940,1.0,
2579,1.0,
3703,1.0,
3561,0.0,
3601,1.0,
3089,0.9600000000000001,
3920,1.0,
2158,1.0,
3058,1.0,
3401,1.0,
3689,1.0,
2658,0.0,
3545,1.0,
3569,1.0,
2225,0.9800000000000001,
3340,1.0,
2960,1.0,
3425,0.9600000000000001,
2809,1.0,
2833,0.18000000000000002,
2657,1.0,
3343,1.0,
2010,1.0,
3198,1.0,
3255,0.16,
3962,0.86,
3577,1.0,
3578,0.0,
2028,1.0,
3948,1.0,
3268,0.82,
3774,1.0,
3508,1.0,
3571,0.92,
3831,1.0,
2306,1.0,
3671,1.0,
2124,0.84,
3544,1.0,
2603,1.0,
3862,1.0,
2958,1.0,
3799,0.0,
3223,1.0,
3757,1.0,
3489,1.0,
2095,1.0,
2123,1.0,
2906,1.0,
3212,1.0,
2295,0.24,
3828,1.0,
2971,1.0,
3440,1.0,
2196,1.0,
3540,1.0,
2049,1.0,
3875,0.9800000000000001,
2242,1.0,
3023,1.0,
3307,1.0,
3510,0.9800000000000001,
3804,1.0,
3865,1.0,
3533,0.16,
3519,1.0,
2914,1.0,
2992,1.0,
2009,1.0,
2434,1.0,
2223,1.0,
2549,1.0,
3074,1.0,
3234,0.0,
2668,1.0,
2600,1.0,
2959,1.0,
3432,1.0,
2128,1.0,
3026,1.0,
3586,1.0,
2431,1.0,
2891,1.0,
3335,1.0,
3971,1.0,
3245,0.82,
3396,1.0,
2963,0.94,
3618,1.0,
2877,1.0,
2030,1.0,
3980,1.0,
2950,1.0,
3157,1.0,
2409,1.0,
2293,1.0,
3554,1.0,
2229,1.0,
2841,1.0,
3435,1.0,
3743,1.0,
3334,0.78,
2263,0.22,
2213,1.0,
3986,0.10000000000000002,
3965,1.0,
2056,1.0,
2544,0.78,
2983,1.0,
3038,1.0,
2819,1.0,
3025,1.0,
3609,1.0,
2320,1.0,
3125,1.0,
2245,1.0,
2364,1.0,
2624,1.0,
2733,1.0,
3835,0.9800000000000001,
3459,1.0,
3973,0.0,
2297,1.0,
