,years_experience,degree,nr_commits,nr_languages,nr_stars
2124,0.0,0.0,839.0,0.0,0.0
3971,0.0,0.0,822.0,0.0,0.0
3236,0.0,0.0,831.0,0.0,0.0
3720,0.0,0.0,835.0,0.0,0.0
2739,0.0,0.0,821.0,0.0,0.0
2491,0.0,0.0,818.0,0.0,0.0
2740,0.0,0.0,1837.0,0.0,0.0
3081,0.0,0.0,831.0,0.0,0.0
3423,0.0,0.0,848.0,0.0,0.0
2053,0.0,0.0,808.0,0.0,0.0
2055,0.0,0.0,835.0,0.0,0.0
2651,0.0,0.0,833.0,0.0,0.0
2376,0.0,0.0,1829.0,0.0,0.0
2031,0.0,0.0,1831.0,0.0,0.0
2793,0.0,0.0,820.0,0.0,0.0
3839,0.0,0.0,1832.0,0.0,0.0
3395,0.0,0.0,823.0,0.0,0.0
2834,0.0,0.0,820.0,0.0,0.0
2724,0.0,0.0,1819.0,0.0,0.0
2925,0.0,0.0,834.0,0.0,0.0
3512,0.0,0.0,1828.0,0.0,0.0
2949,0.0,0.0,842.0,0.0,0.0
2828,0.0,0.0,813.0,0.0,0.0
3601,0.0,0.0,826.0,0.0,0.0
2757,0.0,0.0,838.0,0.0,0.0
3404,0.0,0.0,853.0,0.0,0.0
3332,0.0,0.0,835.0,0.0,0.0
2356,0.0,0.0,1827.0,0.0,0.0
2341,0.0,0.0,1825.0,0.0,0.0
2876,0.0,0.0,834.0,0.0,0.0
2824,0.0,0.0,839.0,0.0,0.0
3612,0.0,0.0,840.0,0.0,0.0
2945,0.0,0.0,818.0,0.0,0.0
3226,0.0,0.0,821.0,0.0,0.0
3446,0.0,0.0,815.0,0.0,0.0
2440,0.0,0.0,840.0,0.0,0.0
2794,0.0,0.0,839.0,0.0,0.0
2378,0.0,0.0,825.0,0.0,0.0
3488,0.0,0.0,821.0,0.0,0.0
3299,0.0,0.0,1829.0,0.0,0.0
3342,0.0,0.0,817.0,0.0,0.0
3924,0.0,0.0,816.0,0.0,0.0
3541,0.0,0.0,844.0,0.0,0.0
2775,0.0,0.0,831.0,0.0,0.0
2242,0.0,0.0,852.0,0.0,0.0
2565,0.0,0.0,844.0,0.0,0.0
2415,0.0,0.0,822.0,0.0,0.0
3575,0.0,0.0,832.0,0.0,0.0
3317,0.0,0.0,837.0,0.0,0.0
2144,0.0,0.0,1836.0,0.0,0.0
2438,0.0,0.0,1834.0,0.0,0.0
2197,0.0,0.0,831.0,0.0,0.0
2818,0.0,0.0,1822.0,0.0,0.0
3242,0.0,0.0,827.0,0.0,0.0
2922,0.0,0.0,826.0,0.0,0.0
3461,0.0,0.0,831.0,0.0,0.0
3193,0.0,0.0,1827.0,0.0,0.0
3573,0.0,0.0,832.0,0.0,0.0
2832,0.0,0.0,829.0,0.0,0.0
3631,0.0,0.0,842.0,0.0,0.0
3329,0.0,0.0,845.0,0.0,0.0
2338,0.0,0.0,825.0,0.0,0.0
3070,0.0,0.0,826.0,0.0,0.0
2705,0.0,0.0,834.0,0.0,0.0
3703,0.0,0.0,833.0,0.0,0.0
2077,0.0,0.0,1828.0,0.0,0.0
3851,0.0,0.0,838.0,0.0,0.0
3873,0.0,0.0,830.0,0.0,0.0
2325,0.0,0.0,833.0,0.0,0.0
2715,0.0,0.0,827.0,0.0,0.0
2352,0.0,0.0,840.0,0.0,0.0
3798,0.0,0.0,819.0,0.0,0.0
2465,0.0,0.0,826.0,0.0,0.0
2070,0.0,0.0,828.0,0.0,0.0
3524,0.0,0.0,844.0,0.0,0.0
2770,0.0,0.0,851.0,0.0,0.0
2339,0.0,0.0,844.0,0.0,0.0
3944,0.0,0.0,822.0,0.0,0.0
2063,0.0,0.0,829.0,0.0,0.0
3665,0.0,0.0,1832.0,0.0,0.0
3859,0.0,0.0,836.0,0.0,0.0
3838,0.0,0.0,832.0,0.0,0.0
2468,0.0,0.0,844.0,0.0,0.0
3781,0.0,0.0,829.0,0.0,0.0
2526,0.0,0.0,840.0,0.0,0.0
3221,0.0,0.0,817.0,0.0,0.0
3436,0.0,0.0,824.0,0.0,0.0
3595,0.0,0.0,823.0,0.0,0.0
3830,0.0,0.0,827.0,0.0,0.0
3865,0.0,0.0,833.0,0.0,0.0
3848,0.0,0.0,1814.0,0.0,0.0
2101,0.0,0.0,1835.0,0.0,0.0
2684,0.0,0.0,821.0,0.0,0.0
2677,0.0,0.0,813.0,0.0,0.0
3700,0.0,0.0,835.0,0.0,0.0
2466,0.0,0.0,838.0,0.0,0.0
2735,0.0,0.0,830.0,0.0,0.0
2670,0.0,0.0,843.0,0.0,0.0
2432,0.0,0.0,849.0,0.0,0.0
3077,0.0,0.0,1834.0,0.0,0.0
3955,0.0,0.0,819.0,0.0,0.0
3241,0.0,0.0,823.0,0.0,0.0
3884,0.0,0.0,828.0,0.0,0.0
3653,0.0,0.0,823.0,0.0,0.0
3677,0.0,0.0,1836.0,0.0,0.0
2605,0.0,0.0,826.0,0.0,0.0
3040,0.0,0.0,828.0,0.0,0.0
3609,0.0,0.0,831.0,0.0,0.0
2682,0.0,0.0,1830.0,0.0,0.0
2938,0.0,0.0,840.0,0.0,0.0
2708,0.0,0.0,828.0,0.0,0.0
2587,0.0,0.0,840.0,0.0,0.0
3478,0.0,0.0,840.0,0.0,0.0
2996,0.0,0.0,820.0,0.0,0.0
3248,0.0,0.0,839.0,0.0,0.0
3004,0.0,0.0,814.0,0.0,0.0
2557,0.0,0.0,831.0,0.0,0.0
2530,0.0,0.0,824.0,0.0,0.0
2478,0.0,0.0,832.0,0.0,0.0
2149,0.0,0.0,818.0,0.0,0.0
3399,0.0,0.0,831.0,0.0,0.0
3770,0.0,0.0,814.0,0.0,0.0
2500,0.0,0.0,817.0,0.0,0.0
2240,0.0,0.0,835.0,0.0,0.0
3039,0.0,0.0,838.0,0.0,0.0
2806,0.0,0.0,824.0,0.0,0.0
3256,0.0,0.0,829.0,0.0,0.0
3335,0.0,0.0,836.0,0.0,0.0
2871,0.0,0.0,815.0,0.0,0.0
3717,0.0,0.0,825.0,0.0,0.0
3201,0.0,0.0,1827.0,0.0,0.0
3890,0.0,0.0,1823.0,0.0,0.0
3577,0.0,0.0,1834.0,0.0,0.0
3671,0.0,0.0,836.0,0.0,0.0
2459,0.0,0.0,812.0,0.0,0.0
3449,0.0,0.0,835.0,0.0,0.0
3875,0.0,0.0,831.0,0.0,0.0
3433,0.0,0.0,1841.0,0.0,0.0
3586,0.0,0.0,1815.0,0.0,0.0
2154,0.0,0.0,842.0,0.0,0.0
2196,0.0,0.0,823.0,0.0,0.0
2261,0.0,0.0,1833.0,0.0,0.0
3844,0.0,0.0,832.0,0.0,0.0
2727,0.0,0.0,830.0,0.0,0.0
2869,0.0,0.0,828.0,0.0,0.0
3734,0.0,0.0,0.0,0.0,4.0
2487,0.0,0.0,846.0,0.0,0.0
3832,0.0,0.0,831.0,0.0,0.0
2041,0.0,0.0,825.0,0.0,0.0
3484,0.0,0.0,832.0,0.0,0.0
2190,0.0,0.0,843.0,0.0,0.0
3911,0.0,0.0,824.0,0.0,0.0
3469,0.0,0.0,833.0,0.0,0.0
3804,0.0,0.0,838.0,0.0,0.0
2717,0.0,0.0,835.0,0.0,0.0
3489,0.0,0.0,824.0,0.0,0.0
2980,0.0,0.0,816.0,0.0,0.0
2080,0.0,0.0,838.0,0.0,0.0
3630,0.0,0.0,1832.0,0.0,0.0
2853,0.0,0.0,831.0,0.0,0.0
2725,0.0,0.0,820.0,0.0,0.0
2479,0.0,0.0,827.0,0.0,0.0
2870,0.0,0.0,823.0,0.0,0.0
2874,0.0,0.0,1843.0,0.0,0.0
2214,0.0,0.0,839.0,0.0,0.0
2937,0.0,0.0,829.0,0.0,0.0
3233,0.0,0.0,833.0,0.0,0.0
3531,0.0,0.0,826.0,0.0,0.0
3184,0.0,0.0,827.0,0.0,0.0
3466,0.0,0.0,826.0,0.0,0.0
2730,0.0,0.0,844.0,0.0,0.0
2521,0.0,0.0,831.0,0.0,0.0
3145,0.0,0.0,835.0,0.0,0.0
3327,0.0,0.0,847.0,0.0,0.0
3572,0.0,0.0,837.0,0.0,0.0
2260,0.0,0.0,1822.0,0.0,0.0
2928,0.0,0.0,817.0,0.0,0.0
3357,0.0,0.0,823.0,0.0,0.0
3120,0.0,0.0,830.0,0.0,0.0
3054,0.0,0.0,829.0,0.0,0.0
3563,0.0,0.0,819.0,0.0,0.0
3035,0.0,0.0,821.0,0.0,0.0
3224,0.0,0.0,834.0,0.0,0.0
3330,0.0,0.0,816.0,0.0,0.0
2203,0.0,0.0,821.0,0.0,0.0
3748,0.0,0.0,849.0,0.0,0.0
3247,0.0,0.0,831.0,0.0,0.0
2095,0.0,0.0,1828.0,0.0,0.0
3280,0.0,0.0,846.0,0.0,0.0
3199,0.0,0.0,818.0,0.0,0.0
2967,0.0,0.0,828.0,0.0,0.0
3582,0.0,0.0,845.0,0.0,0.0
2324,0.0,0.0,849.0,0.0,0.0
2728,0.0,0.0,814.0,0.0,0.0
2462,0.0,0.0,818.0,0.0,0.0
2503,0.0,0.0,836.0,0.0,0.0
2088,0.0,0.0,834.0,0.0,0.0
3203,0.0,0.0,826.0,0.0,0.0
2419,0.0,0.0,843.0,0.0,0.0
3167,0.0,0.0,837.0,0.0,0.0
