,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
2000,2.0,2.0,0.2581923,2.0,9.0,3.0
2001,5.0,3.0,0.99595344,4.0,0.0,0.0
2002,1.0,0.0,0.55547607,9.0,9.0,4.0
2003,3.0,0.0,0.76591766,7.0,4.0,3.0
2004,4.0,0.0,0.7023555,2.0,3.0,3.0
2005,3.0,2.0,0.58706164,8.0,4.0,3.0
2006,2.0,0.0,0.50369024,3.0,3.0,4.0
2007,2.0,2.0,0.96827435,5.0,2.0,9.0
2008,7.0,3.0,0.8866627,1.0,0.0,6.0
2009,5.0,2.0,0.58432436,6.0,2.0,1.0
2010,3.0,2.0,0.24904358,4.0,5.0,3.0
2011,1.0,1.0,0.46543646,5.0,1.0,4.0
2012,0.0,0.0,0.17016554,3.0,2.0,3.0
2013,2.0,0.0,0.20013618,5.0,7.0,6.0
2014,9.0,1.0,0.10185945,6.0,7.0,1.0
2015,4.0,1.0,0.025052786,11.0,1.0,5.0
2016,3.0,2.0,0.88560617,3.0,0.0,5.0
2017,4.0,2.0,0.7276758,3.0,4.0,4.0
2018,1.0,0.0,0.74263394,7.0,9.0,8.0
2019,5.0,0.0,0.5839511,4.0,2.0,3.0
2020,4.0,0.0,0.39179742,6.0,3.0,4.0
2021,0.0,0.0,0.27595007,3.0,0.0,4.0
2022,3.0,1.0,0.3386587,4.0,8.0,5.0
2023,1.0,0.0,0.78939784,1.0,4.0,4.0
2024,3.0,0.0,0.6958858,2.0,3.0,7.0
2025,3.0,0.0,0.14996088,5.0,2.0,4.0
2026,3.0,2.0,0.7811173,3.0,5.0,0.0
2027,1.0,0.0,0.98509574,8.0,0.0,6.0
2028,1.0,0.0,0.6732588,7.0,4.0,2.0
2029,1.0,0.0,0.09161651,4.0,5.0,0.0
2030,6.0,0.0,0.94650996,4.0,5.0,2.0
2031,3.0,1.0,0.3635733,5.0,7.0,9.0
2032,0.0,2.0,0.07618499,7.0,0.0,8.0
2033,6.0,1.0,0.62932944,4.0,5.0,2.0
2034,4.0,0.0,0.54665637,3.0,11.0,4.0
2035,3.0,3.0,0.2168051,3.0,10.0,5.0
2036,3.0,0.0,0.43814826,2.0,0.0,1.0
2037,3.0,0.0,0.48717105,4.0,2.0,2.0
2038,4.0,0.0,0.3291899,6.0,2.0,1.0
2039,5.0,2.0,0.945253,2.0,4.0,2.0
2040,3.0,0.0,0.38306224,2.0,3.0,2.0
2041,1.0,0.0,0.25604665,6.0,3.0,2.0
2042,2.0,0.0,0.6861967,3.0,9.0,6.0
2043,3.0,1.0,0.25583923,5.0,2.0,4.0
2044,2.0,0.0,0.1777649,8.0,1.0,6.0
2045,3.0,2.0,0.41424775,7.0,9.0,5.0
2046,2.0,2.0,0.47445118,3.0,0.0,9.0
2047,3.0,2.0,0.18174458,5.0,4.0,3.0
2048,3.0,3.0,0.70901513,4.0,0.0,3.0
2049,4.0,0.0,0.51570415,4.0,4.0,3.0
2050,3.0,2.0,0.32263756,5.0,0.0,8.0
2051,2.0,0.0,0.9044757,6.0,4.0,4.0
2052,0.0,1.0,0.28046143,6.0,1.0,7.0
2053,1.0,1.0,0.6642113,3.0,5.0,4.0
2054,4.0,2.0,0.24498343,1.0,2.0,0.0
2055,6.0,3.0,0.72362494,2.0,4.0,9.0
2056,5.0,1.0,0.61334705,1.0,8.0,2.0
2057,4.0,2.0,0.17323732,6.0,2.0,8.0
2058,4.0,0.0,0.7713803,4.0,0.0,4.0
2059,0.0,0.0,0.74489725,3.0,11.0,5.0
2060,2.0,2.0,0.6430367,2.0,12.0,3.0
2061,7.0,2.0,0.07050562,3.0,7.0,0.0
2062,4.0,0.0,0.43750024,5.0,1.0,10.0
2063,2.0,2.0,0.29483473,2.0,6.0,5.0
2064,3.0,0.0,0.9132112,8.0,5.0,4.0
2065,0.0,3.0,0.32953334,2.0,2.0,7.0
2066,3.0,1.0,0.33462167,4.0,1.0,0.0
2067,1.0,3.0,0.5173719,3.0,0.0,4.0
2068,6.0,2.0,0.27515948,4.0,0.0,1.0
2069,3.0,2.0,0.1601845,2.0,5.0,4.0
2070,5.0,0.0,0.5848528,5.0,3.0,15.0
2071,3.0,0.0,0.5258322,3.0,0.0,3.0
2072,3.0,3.0,0.1308564,11.0,3.0,3.0
2073,3.0,2.0,0.8456311,5.0,2.0,7.0
2074,2.0,0.0,0.76245236,4.0,4.0,0.0
2075,2.0,1.0,0.90285206,3.0,3.0,5.0
2076,1.0,3.0,0.9279703,3.0,3.0,7.0
2077,1.0,1.0,0.8813982,6.0,9.0,2.0
2078,1.0,1.0,0.26518023,5.0,1.0,7.0
2079,1.0,2.0,0.72675455,6.0,4.0,3.0
2080,5.0,0.0,0.18985128,2.0,1.0,4.0
2081,5.0,1.0,0.9746766,7.0,0.0,1.0
2082,3.0,2.0,0.60135317,3.0,7.0,5.0
2083,7.0,2.0,0.5732944,3.0,0.0,3.0
2084,0.0,2.0,0.7014252,7.0,1.0,1.0
2085,7.0,0.0,0.14584422,4.0,4.0,3.0
2086,3.0,1.0,0.6948178,3.0,1.0,2.0
2087,4.0,0.0,0.8040395,5.0,0.0,3.0
2088,4.0,0.0,0.86538815,4.0,1.0,7.0
2089,2.0,2.0,0.48763633,6.0,1.0,3.0
2090,2.0,0.0,0.4254043,3.0,8.0,3.0
2091,5.0,3.0,0.42967308,6.0,3.0,3.0
2092,5.0,2.0,0.66550565,3.0,4.0,1.0
2093,3.0,1.0,0.676955,2.0,0.0,8.0
2094,2.0,2.0,0.48924148,2.0,3.0,3.0
2095,0.0,2.0,0.120624304,7.0,6.0,4.0
2096,1.0,1.0,0.5787405,4.0,8.0,5.0
2097,7.0,0.0,0.94618344,8.0,2.0,8.0
2098,3.0,3.0,0.42167652,4.0,1.0,4.0
2099,7.0,0.0,0.8830564,1.0,3.0,7.0
2100,2.0,3.0,0.1501466,4.0,10.0,4.0
2101,3.0,1.0,0.79880846,6.0,5.0,3.0
2102,3.0,2.0,0.8922976,5.0,8.0,5.0
2103,2.0,1.0,0.24671578,8.0,9.0,2.0
2104,0.0,1.0,0.60836875,4.0,0.0,6.0
2105,1.0,2.0,0.3706162,6.0,12.0,2.0
2106,1.0,2.0,0.30278158,1.0,13.0,4.0
2107,1.0,1.0,0.63302255,1.0,3.0,8.0
2108,4.0,2.0,0.20154834,1.0,2.0,1.0
2109,3.0,2.0,0.05544913,6.0,4.0,1.0
2110,5.0,1.0,0.4211291,3.0,2.0,8.0
2111,4.0,0.0,0.83546364,4.0,6.0,4.0
2112,0.0,0.0,0.1377188,3.0,0.0,3.0
2113,2.0,0.0,0.16563046,3.0,6.0,2.0
2114,3.0,0.0,0.9141165,2.0,4.0,5.0
2115,2.0,2.0,0.9220147,3.0,8.0,1.0
2116,3.0,0.0,0.11767304,5.0,4.0,1.0
2117,4.0,2.0,0.08454573,4.0,6.0,1.0
2118,2.0,2.0,0.09574354,1.0,5.0,4.0
2119,5.0,0.0,0.26069498,7.0,4.0,7.0
2120,3.0,0.0,0.24540663,3.0,4.0,5.0
2121,4.0,0.0,0.08020425,4.0,6.0,1.0
2122,4.0,2.0,0.5674832,3.0,1.0,6.0
2123,3.0,2.0,0.7707528,11.0,4.0,4.0
2124,3.0,0.0,0.46450043,3.0,2.0,1.0
2125,3.0,1.0,0.9392514,6.0,2.0,5.0
2126,3.0,0.0,0.012718797,6.0,7.0,5.0
2127,4.0,2.0,0.49790716,4.0,5.0,2.0
2128,4.0,2.0,0.91337276,1.0,6.0,3.0
2129,5.0,3.0,0.7510967,3.0,2.0,3.0
2130,5.0,1.0,0.87956655,3.0,6.0,3.0
2131,7.0,0.0,0.44320512,3.0,4.0,5.0
2132,7.0,1.0,0.14756095,1.0,3.0,5.0
2133,2.0,2.0,0.11154938,3.0,0.0,0.0
2134,1.0,0.0,0.26114714,5.0,2.0,4.0
2135,2.0,2.0,0.97207904,1.0,0.0,3.0
2136,2.0,0.0,0.38294125,2.0,1.0,7.0
2137,3.0,0.0,0.3054452,3.0,5.0,6.0
2138,1.0,0.0,0.80278337,5.0,3.0,2.0
2139,3.0,1.0,0.15958238,6.0,6.0,7.0
2140,7.0,0.0,0.20813525,8.0,2.0,2.0
2141,0.0,0.0,0.14634752,2.0,10.0,3.0
2142,3.0,3.0,0.70518005,2.0,1.0,16.0
2143,0.0,3.0,0.9852183,3.0,5.0,1.0
2144,3.0,1.0,0.554538,5.0,4.0,2.0
2145,4.0,2.0,0.1489768,7.0,1.0,9.0
2146,4.0,1.0,0.27057743,5.0,2.0,5.0
2147,2.0,2.0,0.39135623,4.0,7.0,5.0
2148,2.0,0.0,0.19006145,3.0,3.0,0.0
2149,1.0,0.0,0.18544567,5.0,3.0,5.0
2150,2.0,0.0,0.031450033,5.0,8.0,5.0
2151,4.0,1.0,0.8800318,4.0,2.0,4.0
2152,2.0,2.0,0.59159935,4.0,0.0,2.0
2153,5.0,3.0,0.37749028,7.0,0.0,3.0
2154,0.0,2.0,0.35854435,9.0,12.0,2.0
2155,2.0,1.0,0.56319106,2.0,6.0,2.0
2156,5.0,2.0,0.42133677,0.0,7.0,3.0
2157,2.0,0.0,0.1615876,12.0,1.0,4.0
2158,3.0,0.0,0.3748057,3.0,5.0,3.0
2159,4.0,1.0,0.6893654,6.0,2.0,11.0
