,years_experience,degree,nr_commits,nr_languages,nr_stars
3183,1.0,1.0,15.0,1.0,0.0
2916,0.0,1.0,1.0,1.0,4.0
2498,0.0,1.0,2.0,20.0,7.0
2577,1.0,0.0,14.0,1.0,8.0
3114,1.0,0.0,12.0,0.0,1.0
2402,3.0,0.0,33.0,3.0,10.0
3013,2.0,0.0,25.0,6.0,3.0
3539,2.0,0.0,24.0,7.0,3.0
3467,1.0,2.0,20.0,2.0,1.0
2041,1.0,0.0,16.0,3.0,2.0
3026,1.0,0.0,16.0,10.0,6.0
3355,2.0,1.0,26.0,0.0,5.0
2390,2.0,0.0,25.0,2.0,3.0
2012,0.0,0.0,3.0,2.0,3.0
3387,2.0,0.0,23.0,0.0,4.0
3000,2.0,1.0,22.0,7.0,5.0
2281,2.0,0.0,26.0,3.0,4.0
3840,0.0,0.0,7.0,9.0,3.0
3332,0.0,0.0,1.0,5.0,9.0
3903,3.0,0.0,30.0,1.0,8.0
3718,3.0,0.0,37.0,12.0,3.0
2648,2.0,0.0,25.0,2.0,11.0
3178,1.0,1.0,12.0,3.0,3.0
2605,0.0,2.0,1.0,13.0,9.0
2299,2.0,0.0,23.0,4.0,2.0
2964,1.0,1.0,14.0,10.0,6.0
3141,1.0,2.0,13.0,8.0,2.0
3556,4.0,0.0,44.0,4.0,6.0
3566,3.0,0.0,32.0,2.0,5.0
2706,0.0,0.0,3.0,10.0,4.0
2137,3.0,0.0,33.0,5.0,6.0
2234,0.0,0.0,3.0,2.0,0.0
2149,1.0,0.0,15.0,3.0,5.0
2518,2.0,1.0,24.0,5.0,5.0
3185,1.0,1.0,14.0,6.0,3.0
3865,0.0,0.0,4.0,3.0,7.0
2246,1.0,0.0,14.0,2.0,2.0
2496,2.0,0.0,24.0,0.0,3.0
2199,4.0,0.0,47.0,9.0,9.0
2166,4.0,0.0,44.0,3.0,3.0
3004,1.0,0.0,15.0,1.0,2.0
3917,0.0,0.0,5.0,6.0,4.0
2486,0.0,0.0,1.0,3.0,5.0
3446,1.0,0.0,12.0,1.0,0.0
3575,0.0,0.0,5.0,6.0,3.0
3679,2.0,1.0,23.0,1.0,5.0
2173,1.0,0.0,13.0,3.0,10.0
2343,3.0,0.0,36.0,11.0,0.0
2629,2.0,1.0,23.0,5.0,5.0
3586,1.0,1.0,15.0,2.0,2.0
2380,1.0,1.0,13.0,2.0,3.0
2217,2.0,0.0,22.0,2.0,2.0
2182,0.0,2.0,3.0,7.0,1.0
2918,0.0,0.0,8.0,7.0,5.0
2155,2.0,1.0,22.0,6.0,2.0
3924,2.0,0.0,27.0,1.0,4.0
3003,2.0,0.0,22.0,17.0,5.0
2465,1.0,1.0,13.0,2.0,6.0
3651,0.0,0.0,2.0,3.0,8.0
2481,1.0,2.0,19.0,5.0,4.0
2327,2.0,0.0,23.0,4.0,3.0
2251,2.0,0.0,24.0,3.0,3.0
2469,1.0,1.0,15.0,3.0,4.0
3329,0.0,0.0,3.0,3.0,5.0
3510,1.0,1.0,12.0,3.0,5.0
2767,0.0,0.0,2.0,4.0,4.0
3680,1.0,1.0,13.0,9.0,2.0
2228,2.0,0.0,25.0,4.0,2.0
2892,3.0,0.0,33.0,6.0,4.0
2311,1.0,0.0,11.0,0.0,2.0
3888,1.0,2.0,16.0,3.0,4.0
2756,2.0,1.0,22.0,9.0,5.0
2521,0.0,2.0,6.0,2.0,5.0
3671,2.0,0.0,23.0,3.0,3.0
2494,3.0,0.0,35.0,2.0,3.0
3854,2.0,0.0,22.0,3.0,3.0
3541,2.0,0.0,23.0,2.0,2.0
2312,1.0,0.0,19.0,1.0,6.0
2172,0.0,1.0,5.0,5.0,2.0
3934,2.0,1.0,23.0,1.0,4.0
3875,3.0,0.0,36.0,5.0,0.0
3672,0.0,1.0,6.0,11.0,1.0
3813,1.0,0.0,14.0,0.0,4.0
2696,2.0,0.0,22.0,2.0,4.0
3505,4.0,0.0,44.0,3.0,3.0
3381,1.0,1.0,14.0,3.0,3.0
2704,2.0,1.0,26.0,1.0,5.0
2975,3.0,0.0,33.0,10.0,2.0
2785,3.0,0.0,33.0,4.0,5.0
2422,1.0,2.0,12.0,5.0,4.0
2991,3.0,0.0,38.0,4.0,2.0
2544,1.0,0.0,15.0,8.0,2.0
3244,4.0,0.0,42.0,0.0,2.0
3365,0.0,2.0,4.0,1.0,9.0
2042,2.0,0.0,23.0,9.0,6.0
2451,1.0,0.0,14.0,1.0,1.0
3251,2.0,0.0,22.0,2.0,1.0
3191,1.0,2.0,15.0,10.0,4.0
3308,0.0,2.0,6.0,1.0,2.0
3986,1.0,1.0,13.0,2.0,3.0
3241,0.0,0.0,3.0,2.0,8.0
3130,1.0,0.0,14.0,4.0,0.0
2511,1.0,0.0,13.0,7.0,5.0
2178,2.0,1.0,23.0,2.0,2.0
3224,0.0,2.0,2.0,13.0,4.0
3016,1.0,1.0,14.0,12.0,0.0
3484,2.0,0.0,24.0,4.0,3.0
3855,3.0,0.0,38.0,1.0,7.0
2930,1.0,0.0,17.0,1.0,4.0
3989,1.0,1.0,12.0,18.0,6.0
3674,2.0,0.0,26.0,2.0,7.0
2738,1.0,0.0,13.0,6.0,1.0
3624,0.0,2.0,4.0,2.0,0.0
2733,2.0,0.0,22.0,1.0,5.0
2939,2.0,0.0,28.0,0.0,0.0
2559,2.0,1.0,23.0,5.0,3.0
2787,3.0,0.0,33.0,1.0,6.0
3555,2.0,0.0,21.0,5.0,10.0
2322,2.0,0.0,21.0,2.0,9.0
2919,0.0,3.0,5.0,0.0,3.0
3742,2.0,0.0,25.0,11.0,3.0
3205,3.0,0.0,32.0,2.0,5.0
2275,0.0,0.0,7.0,8.0,1.0
2392,2.0,0.0,25.0,3.0,7.0
3507,1.0,0.0,16.0,7.0,8.0
2880,2.0,0.0,26.0,2.0,9.0
3935,2.0,0.0,28.0,5.0,9.0
3921,1.0,0.0,14.0,4.0,7.0
2931,1.0,2.0,13.0,1.0,4.0
2830,2.0,0.0,23.0,7.0,9.0
3419,3.0,0.0,33.0,2.0,5.0
2906,1.0,0.0,14.0,1.0,3.0
2915,2.0,0.0,21.0,2.0,2.0
3051,1.0,0.0,13.0,2.0,4.0
2927,2.0,0.0,27.0,4.0,1.0
3668,0.0,0.0,6.0,4.0,5.0
3716,3.0,0.0,37.0,2.0,5.0
2303,1.0,0.0,17.0,1.0,4.0
3012,0.0,2.0,4.0,1.0,2.0
3065,1.0,0.0,10.0,2.0,3.0
2620,4.0,0.0,43.0,6.0,6.0
2700,2.0,1.0,26.0,5.0,0.0
2124,3.0,0.0,33.0,2.0,1.0
2947,2.0,0.0,24.0,3.0,4.0
2989,2.0,0.0,22.0,2.0,6.0
3390,1.0,0.0,14.0,14.0,6.0
3392,1.0,0.0,13.0,1.0,3.0
2188,1.0,0.0,16.0,6.0,3.0
2691,0.0,1.0,5.0,13.0,0.0
3278,3.0,0.0,33.0,4.0,3.0
3342,2.0,0.0,22.0,6.0,10.0
3905,3.0,0.0,33.0,13.0,4.0
2631,1.0,2.0,14.0,3.0,3.0
2040,3.0,0.0,32.0,3.0,2.0
2799,1.0,0.0,18.0,3.0,6.0
3705,0.0,0.0,3.0,2.0,3.0
3222,1.0,0.0,16.0,6.0,4.0
2499,1.0,2.0,15.0,5.0,4.0
2434,2.0,0.0,23.0,10.0,1.0
2461,1.0,1.0,14.0,5.0,7.0
2161,0.0,2.0,4.0,7.0,0.0
3412,1.0,0.0,15.0,4.0,0.0
2540,1.0,0.0,15.0,1.0,2.0
2509,3.0,0.0,32.0,2.0,2.0
3307,0.0,1.0,5.0,11.0,3.0
3703,1.0,1.0,18.0,0.0,3.0
2619,3.0,0.0,34.0,2.0,3.0
2984,1.0,0.0,13.0,5.0,4.0
2170,1.0,0.0,17.0,0.0,4.0
2095,0.0,2.0,7.0,6.0,4.0
2183,0.0,2.0,3.0,0.0,4.0
2973,0.0,0.0,6.0,7.0,7.0
3689,3.0,0.0,35.0,10.0,6.0
3094,3.0,0.0,35.0,11.0,2.0
2694,0.0,0.0,2.0,4.0,0.0
3880,0.0,1.0,2.0,3.0,5.0
3408,0.0,0.0,2.0,5.0,1.0
2740,3.0,0.0,32.0,0.0,3.0
2759,1.0,0.0,15.0,2.0,9.0
2154,0.0,2.0,9.0,12.0,2.0
2245,0.0,0.0,3.0,7.0,1.0
2090,2.0,0.0,23.0,8.0,3.0
3798,3.0,0.0,38.0,9.0,2.0
2203,1.0,0.0,15.0,0.0,4.0
2475,1.0,0.0,12.0,5.0,2.0
2075,2.0,1.0,23.0,3.0,5.0
2658,0.0,1.0,3.0,2.0,6.0
2972,1.0,0.0,10.0,2.0,0.0
2191,0.0,2.0,4.0,4.0,3.0
3513,1.0,0.0,15.0,2.0,5.0
3977,3.0,1.0,34.0,0.0,3.0
3550,0.0,1.0,6.0,5.0,4.0
2702,1.0,0.0,14.0,2.0,6.0
2334,0.0,1.0,4.0,7.0,9.0
3247,3.0,0.0,30.0,5.0,7.0
3294,3.0,0.0,35.0,1.0,8.0
3277,1.0,1.0,14.0,4.0,3.0
3978,0.0,1.0,2.0,1.0,6.0
3024,2.0,0.0,23.0,4.0,13.0
3804,2.0,0.0,23.0,1.0,0.0
