,senior-level_skill
2301,0.0
3613,0.0
2475,0.0
2158,0.0
2738,0.0
3153,0.0
2470,0.0
2357,0.0
3610,0.0
2602,0.0
2033,0.0
3948,0.0
2354,0.0
2941,0.0
3626,0.0
2674,0.0
2206,0.0
3013,0.0
2728,0.0
3303,0.0
2624,0.0
3511,0.0
2638,0.0
2630,0.0
2169,0.0
2906,0.0
2852,0.0
3121,0.0
3326,0.0
2055,0.0
3835,0.0
3319,0.0
2216,0.0
2534,0.0
3310,0.0
3124,0.0
3176,0.0
2951,0.0
2151,0.0
3309,0.0
2717,0.0
2932,0.0
2234,0.0
3137,0.0
3608,0.0
2955,0.0
3854,0.0
3507,0.0
2434,0.0
3261,0.0
2556,0.0
2872,0.0
3242,0.0
3763,0.0
3517,0.0
2296,0.0
3285,0.0
3568,0.0
2516,0.0
2492,0.0
3878,0.0
3730,0.0
3034,0.0
3531,0.0
2063,0.0
2527,0.0
2322,0.0
3162,0.0
2722,0.0
2369,0.0
2686,0.0
2413,0.0
3336,0.0
3843,0.0
3274,0.0
3229,0.0
2936,0.0
2944,0.0
2123,0.0
2785,0.0
2231,0.0
2489,0.0
2794,0.0
3160,0.0
3984,0.0
2046,0.0
2067,0.0
3203,0.0
2359,0.0
3105,0.0
2274,0.0
2614,0.0
2759,0.0
3327,0.0
2524,0.0
2389,0.0
2985,0.0
3749,0.0
3061,0.0
2286,0.0
2501,0.0
3967,1.0
2120,0.0
3430,0.0
2081,0.0
3218,0.0
2259,0.0
2967,0.0
3557,0.0
2868,0.0
3901,0.0
2950,0.0
2002,0.0
2272,0.0
3098,0.0
3509,0.0
2027,0.0
3081,0.0
3535,0.0
2440,0.0
3404,0.0
2197,0.0
3359,0.0
3996,0.0
2281,0.0
3321,0.0
2140,0.0
3739,0.0
2658,0.0
3294,0.0
3623,0.0
2437,0.0
2224,0.0
3288,0.0
3323,0.0
2662,0.0
3955,0.0
2542,0.0
3007,0.0
3049,0.0
3500,0.0
2165,0.0
3657,0.0
3240,0.0
3593,0.0
3462,0.0
3991,0.0
3110,0.0
3091,0.0
3718,0.0
2132,0.0
3202,0.0
2628,0.0
3409,0.0
2038,0.0
3112,0.0
3194,0.0
2094,0.0
3513,0.0
2807,0.0
3019,0.0
2908,0.0
2843,0.0
3862,0.0
2031,0.0
3939,0.0
3497,0.0
2115,0.0
2632,0.0
3466,0.0
3005,0.0
3338,0.0
2621,0.0
2529,0.0
3845,0.0
2762,0.0
3151,0.0
3564,0.0
3492,0.0
3715,0.0
3158,0.0
2865,0.0
2101,0.0
3436,0.0
2007,0.0
3293,0.0
2382,0.0
2394,0.0
3993,0.0
3631,0.0
3709,0.0
3392,0.0
2218,0.0
2100,0.0
3297,0.0
2113,0.0
2550,0.0
2207,0.0
2157,0.0
2836,0.0
