ix,goal_cost,intv_cost
2768,1.0,0.6835
2250,1.0,0.7828
2212,1.0,0.5836
3377,1.0,0.6831
3331,1.0,0.082
2529,1.0,0.48310000000000003
3519,1.0,0.7818
2066,1.0,0.8813000000000001
2374,1.0,1.0833000000000002
2613,1.0,1.0819
2477,1.0,0.28300000000000003
3302,1.0,0.4833
2431,1.0,0.5836
2136,1.0,0.18120000000000003
3395,1.0,0.9824
3908,1.0,0.9841000000000001
3045,1.0,0.9837
2928,1.0,0.48240000000000005
3876,1.0,0.1826
3050,1.0,0.5829
2456,1.0,0.5831000000000001
3032,1.0,0.3834
2071,1.0,0.7831
3040,1.0,0.1816
2734,1.0,0.7812
2759,1.0,0.9824
3309,1.0,0.6818000000000001
2728,1.0,0.3815
2189,1.0,0.6824
2500,1.0,0.9827
2047,1.0,0.18120000000000003
2516,1.0,0.5829
3906,1.0,0.6829000000000001
2813,1.0,0.7819
2458,1.0,0.7824
2832,1.0,0.7833
3666,1.0,0.9827
2715,1.0,0.6819000000000001
3920,1.0,0.9846
3362,1.0,0.7004
2241,1.0,0.5834
3250,1.0,0.7823
3562,1.0,0.5844
2396,1.0,0.6829000000000001
3968,1.0,0.48240000000000005
3664,1.0,0.6818000000000001
2739,1.0,0.8829
2894,1.0,0.6836
2246,1.0,0.5826
3194,1.0,0.9
3795,1.0,0.8835000000000001
3645,1.0,0.8829
3978,1.0,0.6826000000000001
2198,1.0,0.6832
3834,1.0,0.7832
2550,1.0,0.8823000000000001
2708,1.0,0.38280000000000003
3997,1.0,0.0816
2837,1.0,0.1834
3814,1.0,0.7826000000000001
2807,1.0,0.8829
3256,1.0,0.8816
2876,1.0,1.0827
2746,1.0,0.6833
2031,1.0,0.9830000000000001
2581,1.0,0.7003
3174,1.0,0.782
2884,1.0,0.38280000000000003
3557,1.0,0.7822
2382,1.0,0.28300000000000003
3540,1.0,0.38280000000000003
2817,1.0,0.6832
2774,1.0,0.38170000000000004
3757,1.0,0.6823
3596,1.0,1.0832000000000002
3016,1.0,0.4
3847,1.0,0.7817000000000001
2778,1.0,0.6836
2797,1.0,0.8812000000000001
3893,1.0,0.683
3651,1.0,0.3819
2386,1.0,0.2841
2359,1.0,0.9836
2883,1.0,0.6813
3852,1.0,0.6821
2585,1.0,0.6826000000000001
2926,1.0,0.0009000000000000001
3943,1.0,0.785
2151,1.0,0.18430000000000002
3033,1.0,0.2824
3537,1.0,0.8833000000000001
3095,1.0,0.2824
2305,1.0,1.0847
2475,1.0,0.2831
3078,1.0,0.5828
3934,1.0,0.6837000000000001
2846,1.0,0.08310000000000001
2860,1.0,0.6831
2120,1.0,0.8843000000000001
3019,1.0,0.6827000000000001
2700,1.0,0.7833
3496,1.0,0.4823
3402,1.0,0.8827
2687,1.0,0.7844
3988,1.0,0.5822
2172,1.0,0.8826
3104,1.0,0.9829000000000001
2815,1.0,0.6829000000000001
3007,1.0,0.5841000000000001
2381,1.0,0.7831
2193,1.0,0.48340000000000005
3878,1.0,0.1834
3156,1.0,0.6838
3616,1.0,0.6842
2130,1.0,0.9851000000000001
3320,1.0,0.4829
3383,1.0,0.9845
2632,1.0,0.9848
2900,1.0,0.6842
2365,1.0,0.8825000000000001
3961,1.0,0.1814
2289,1.0,0.18320000000000003
2492,1.0,0.9829000000000001
3737,1.0,0.9830000000000001
3042,1.0,0.7814000000000001
2809,1.0,0.9826
2637,1.0,0.1836
3650,1.0,0.7832
3890,1.0,0.2
3373,1.0,0.7826000000000001
2406,1.0,0.784
3493,1.0,0.38470000000000004
2752,1.0,0.6839000000000001
2057,1.0,0.683
3789,1.0,0.7844
2747,1.0,0.7836000000000001
3070,1.0,0.7829
2435,1.0,0.6821
2076,1.0,0.4832
3418,1.0,1.0828
3297,1.0,0.7829
3279,1.0,0.6823
2951,1.0,0.4838
2607,1.0,0.8008000000000001
2318,1.0,0.6834
3485,1.0,0.6825
2609,1.0,0.9839
3241,1.0,0.7100000000000001
3120,1.0,0.1835
3683,1.0,0.8831
3134,1.0,0.5826
3636,1.0,0.7842
3709,1.0,1.0819
3425,1.0,0.6848000000000001
3205,1.0,0.5845
2357,1.0,0.6833
2154,1.0,0.48460000000000003
3483,1.0,0.4842
2283,1.0,0.4847
3025,1.0,0.4823
3808,1.0,0.8831
2895,1.0,0.4829
2287,1.0,0.8824000000000001
2211,1.0,0.8829
3678,1.0,0.4822
2631,1.0,0.4822
3199,1.0,0.6821
3225,1.0,0.9844
2877,1.0,0.4811
2955,1.0,1.0001
3444,1.0,0.6847000000000001
3786,1.0,0.2836
2869,1.0,0.6841
2705,1.0,0.7819
2611,1.0,0.784
2105,1.0,0.9835
3732,1.0,0.6827000000000001
2828,1.0,0.38430000000000003
2589,1.0,0.5806
2277,1.0,0.082
3280,1.0,0.7808
2484,1.0,0.4
3285,1.0,0.8801000000000001
3602,1.0,0.5813
2591,1.0,0.9827
2468,1.0,0.2822
2699,1.0,0.4828
3984,1.0,0.5843
3195,1.0,0.8831
2174,1.0,0.7807000000000001
3010,1.0,0.9832000000000001
3749,1.0,0.6825
3619,1.0,0.9838
3394,1.0,0.7100000000000001
2826,1.0,0.8837
2859,1.0,0.9826
3611,1.0,0.9828
3639,1.0,0.8829
2042,1.0,0.5845
3504,1.0,0.7846000000000001
