,years_experience,degree,nr_commits,nr_languages,nr_stars
3906,2.0,0.0,851.0,6.0,10.0
2084,3.0,0.0,851.0,1.0,10.0
3953,0.0,2.0,3.0,16.0,11.0
3517,2.0,0.0,846.0,4.0,10.0
3132,3.0,0.0,1857.0,5.0,10.0
3199,3.0,0.0,1854.0,1.0,10.0
3920,0.0,0.0,844.0,4.0,10.0
3678,2.0,0.0,854.0,10.0,10.0
2171,0.0,2.0,2.0,4.0,11.0
2251,2.0,0.0,847.0,2.0,10.0
2909,0.0,0.0,2.0,6.0,13.0
3318,2.0,0.0,841.0,7.0,10.0
3579,2.0,0.0,844.0,5.0,10.0
3482,1.0,2.0,845.0,2.0,10.0
2089,1.0,0.0,844.0,2.0,10.0
3620,1.0,0.0,846.0,1.0,10.0
2607,1.0,3.0,11.0,9.0,10.0
2688,1.0,1.0,851.0,8.0,10.0
3297,2.0,1.0,847.0,0.0,10.0
2283,0.0,1.0,847.0,2.0,10.0
2924,3.0,0.0,856.0,16.0,10.0
3237,2.0,0.0,846.0,4.0,10.0
3395,3.0,0.0,854.0,5.0,10.0
2555,1.0,0.0,842.0,7.0,10.0
3362,0.0,2.0,3.0,1.0,11.0
2873,0.0,0.0,848.0,3.0,10.0
2797,3.0,0.0,1861.0,4.0,10.0
2664,3.0,1.0,848.0,3.0,10.0
2752,2.0,0.0,849.0,3.0,10.0
3910,0.0,0.0,850.0,6.0,10.0
3639,1.0,1.0,848.0,0.0,10.0
3942,0.0,2.0,3.0,1.0,11.0
2930,2.0,0.0,847.0,0.0,10.0
3491,2.0,0.0,848.0,4.0,10.0
3600,1.0,2.0,847.0,2.0,10.0
3693,3.0,0.0,851.0,6.0,10.0
2921,1.0,2.0,850.0,4.0,10.0
2262,3.0,1.0,839.0,0.0,10.0
3631,0.0,0.0,852.0,8.0,10.0
3684,1.0,0.0,845.0,4.0,10.0
3984,0.0,0.0,847.0,7.0,10.0
3860,2.0,1.0,850.0,2.0,10.0
3929,2.0,0.0,851.0,3.0,10.0
2934,1.0,0.0,846.0,5.0,10.0
2431,1.0,0.0,852.0,2.0,10.0
