,h_post,h_post_individualized
3906,0.88,
2084,0.84,
3953,0.5,
3517,0.88,
3132,0.9800000000000001,
3199,0.9600000000000001,
3920,0.88,
3678,0.88,
2171,0.52,
2251,0.88,
2909,0.56,
3318,0.88,
3579,0.88,
3482,1.0,
2089,0.92,
3620,0.9,
2607,0.5,
2688,1.0,
3297,0.86,
2283,0.9600000000000001,
2924,0.86,
3237,0.88,
3395,0.86,
2555,0.92,
3362,0.5,
2873,0.88,
2797,0.9800000000000001,
2664,0.94,
2752,0.88,
3910,0.88,
3639,0.86,
3942,0.5,
2930,0.8,
3491,0.88,
3600,1.0,
3693,0.86,
2921,1.0,
2262,0.82,
3631,0.88,
3684,0.92,
3984,0.88,
3860,0.9800000000000001,
3929,0.88,
2934,0.92,
2431,0.92,
3821,1.0,
2609,0.92,
2869,1.0,
3732,0.8,
2119,0.88,
2350,0.86,
3253,0.88,
2053,0.84,
2410,1.0,
3225,0.9600000000000001,
2670,0.8,
3204,0.92,
3289,0.88,
3876,0.92,
2815,0.9800000000000001,
3216,0.92,
2691,0.88,
2746,0.8,
2051,0.88,
2147,0.86,
3652,0.88,
3549,1.0,
3809,0.88,
2698,0.9600000000000001,
3677,0.54,
3564,0.88,
3934,0.82,
2585,0.86,
2711,0.88,
2759,0.88,
2582,0.86,
3830,0.88,
3894,0.9600000000000001,
3739,0.8,
3606,0.9600000000000001,
3904,0.88,
3727,1.0,
2690,0.88,
2504,0.92,
2605,0.9800000000000001,
3115,0.56,
2066,0.88,
3104,0.88,
2821,0.92,
2813,1.0,
3229,0.9600000000000001,
2587,0.5,
2795,1.0,
3452,0.88,
3329,0.82,
3548,0.88,
3883,0.8,
2489,0.92,
3379,0.92,
3957,0.92,
3662,0.8,
2716,0.92,
2593,0.86,
3052,1.0,
3240,0.92,
2884,0.88,
2082,0.9,
3764,0.9,
2246,0.88,
2570,0.88,
3377,0.88,
3537,0.9800000000000001,
2809,0.88,
3019,0.9800000000000001,
3317,0.92,
2095,0.9,
3391,0.92,
3687,0.9800000000000001,
2452,0.88,
3967,0.86,
2844,0.88,
3580,0.88,
3285,1.0,
2086,0.8,
3376,0.9800000000000001,
3591,0.92,
2850,0.88,
3887,0.6,
2130,0.88,
3634,1.0,
3092,1.0,
2798,1.0,
3137,1.0,
2741,0.92,
3898,0.92,
3070,1.0,
2383,0.86,
2898,0.88,
2557,0.88,
3105,0.86,
3364,0.9600000000000001,
2120,0.88,
2631,0.9800000000000001,
3274,0.78,
3651,0.86,
3250,0.88,
2976,0.9600000000000001,
3499,0.88,
3185,0.88,
2817,1.0,
3681,0.86,
2438,0.88,
2544,0.86,
2469,0.9800000000000001,
3568,0.58,
2561,0.78,
3406,0.86,
3280,0.9600000000000001,
3445,0.92,
2411,0.88,
3636,1.0,
3023,0.9800000000000001,
3562,1.0,
3435,0.86,
3373,0.88,
3222,0.92,
3271,1.0,
3710,0.88,
3272,0.8,
2714,1.0,
3961,0.9800000000000001,
2334,1.0,
2619,0.56,
2654,0.9800000000000001,
3029,0.54,
2883,0.9600000000000001,
2687,0.88,
2936,0.84,
3025,0.86,
3786,0.88,
2634,0.92,
3188,0.9800000000000001,
2193,1.0,
2081,0.86,
2430,0.9600000000000001,
3547,0.88,
2277,0.9,
3301,0.88,
2876,0.86,
2839,0.52,
2751,0.88,
2512,0.9800000000000001,
3194,0.9600000000000001,
2083,0.94,
2370,0.82,
3061,0.88,
2048,0.92,
2520,0.9600000000000001,
2287,0.9800000000000001,
3093,0.9800000000000001,
