,years_experience,degree,nr_commits,nr_languages,nr_stars
3933,4.0,1.0,4043.0,8.0,13.0
3379,2.0,2.0,2023.0,5.0,12.0
2844,3.0,1.0,3036.0,4.0,10.0
3335,3.0,1.0,3036.0,1.0,13.0
2005,3.0,1.0,3032.0,4.0,15.0
2555,1.0,3.0,1014.0,8.0,13.0
2765,3.0,1.0,3038.0,4.0,17.0
2883,5.0,0.0,56.0,1.0,4.0
2376,1.0,3.0,1015.0,5.0,11.0
3965,1.0,3.0,1016.0,8.0,12.0
3129,5.0,0.0,5054.0,11.0,18.0
3571,5.0,0.0,5054.0,14.0,15.0
2431,1.0,3.0,1012.0,3.0,15.0
2296,2.0,2.0,2022.0,2.0,14.0
3019,3.0,2.0,3036.0,10.0,15.0
3914,3.0,1.0,3037.0,2.0,13.0
2450,3.0,1.0,3038.0,6.0,13.0
3702,1.0,3.0,1012.0,5.0,13.0
2877,4.0,1.0,4044.0,9.0,16.0
2965,1.0,3.0,1017.0,1.0,12.0
3816,3.0,1.0,3034.0,7.0,14.0
3752,2.0,2.0,2023.0,2.0,12.0
2814,2.0,2.0,2024.0,4.0,13.0
3517,2.0,2.0,2023.0,5.0,10.0
2890,2.0,2.0,2027.0,2.0,14.0
2176,3.0,1.0,3032.0,6.0,18.0
2797,5.0,0.0,5058.0,5.0,12.0
3131,2.0,2.0,22.0,2.0,4.0
2332,1.0,3.0,1012.0,1.0,13.0
2826,2.0,2.0,2021.0,10.0,12.0
2238,2.0,2.0,2023.0,9.0,19.0
2866,3.0,2.0,3035.0,1.0,13.0
2136,4.0,1.0,4046.0,4.0,19.0
2934,1.0,3.0,1013.0,6.0,14.0
3631,1.0,3.0,1014.0,9.0,12.0
2837,1.0,3.0,1013.0,5.0,19.0
3929,3.0,1.0,3032.0,4.0,10.0
3874,2.0,2.0,2029.0,13.0,13.0
3282,2.0,2.0,2024.0,2.0,13.0
3953,1.0,3.0,1015.0,17.0,14.0
3378,2.0,2.0,2026.0,4.0,14.0
3093,3.0,2.0,3034.0,3.0,11.0
3435,5.0,0.0,5053.0,7.0,11.0
2442,1.0,3.0,1014.0,4.0,13.0
3033,2.0,2.0,2026.0,2.0,18.0
3042,2.0,2.0,2031.0,2.0,13.0
2042,3.0,1.0,3035.0,1.0,15.0
2408,5.0,0.0,5054.0,2.0,12.0
2990,1.0,3.0,1015.0,4.0,10.0
3619,1.0,3.0,1022.0,4.0,11.0
2976,2.0,2.0,2024.0,2.0,17.0
3009,2.0,2.0,2030.0,2.0,13.0
3727,1.0,3.0,1012.0,8.0,13.0
2807,2.0,2.0,2025.0,5.0,13.0
2928,3.0,1.0,3034.0,12.0,17.0
3664,2.0,2.0,26.0,5.0,4.0
3217,2.0,2.0,2024.0,8.0,16.0
2593,2.0,2.0,2022.0,2.0,10.0
3260,2.0,2.0,2024.0,8.0,12.0
2152,3.0,2.0,3034.0,3.0,12.0
3031,2.0,2.0,2024.0,6.0,13.0
2460,2.0,2.0,2023.0,2.0,10.0
3961,5.0,0.0,5054.0,7.0,19.0
3437,1.0,3.0,1014.0,1.0,10.0
2037,1.0,3.0,1016.0,5.0,14.0
2000,1.0,3.0,1013.0,6.0,12.0
2747,1.0,3.0,14.0,0.0,3.0
2921,1.0,3.0,1011.0,5.0,14.0
2759,2.0,2.0,2025.0,11.0,11.0
3209,2.0,2.0,2021.0,6.0,11.0
3504,2.0,2.0,2023.0,4.0,13.0
3641,3.0,1.0,3034.0,1.0,13.0
2778,3.0,1.0,34.0,0.0,4.0
3078,2.0,2.0,2024.0,6.0,15.0
3757,2.0,2.0,2023.0,4.0,14.0
3847,3.0,2.0,3033.0,6.0,13.0
3438,3.0,2.0,3034.0,6.0,21.0
3444,1.0,3.0,1010.0,5.0,14.0
3457,2.0,2.0,2022.0,14.0,14.0
2841,3.0,1.0,31.0,4.0,0.0
3502,2.0,2.0,2022.0,7.0,16.0
2894,1.0,3.0,1013.0,10.0,14.0
2305,1.0,3.0,1015.0,2.0,10.0
3325,1.0,3.0,1013.0,7.0,15.0
2049,3.0,1.0,3032.0,4.0,13.0
3137,2.0,2.0,2027.0,3.0,12.0
2819,5.0,0.0,5053.0,4.0,11.0
2499,4.0,1.0,4044.0,3.0,18.0
2307,3.0,1.0,3034.0,2.0,22.0
2909,1.0,3.0,1012.0,7.0,22.0
2428,3.0,1.0,3032.0,7.0,21.0
2627,1.0,3.0,1014.0,3.0,10.0
3834,3.0,2.0,3034.0,6.0,14.0
3469,3.0,1.0,3035.0,3.0,16.0
3011,2.0,2.0,2022.0,4.0,20.0
2501,1.0,3.0,1014.0,4.0,13.0
2746,3.0,1.0,3036.0,1.0,15.0
3320,2.0,2.0,2020.0,6.0,16.0
2482,1.0,3.0,1013.0,3.0,12.0
3104,3.0,1.0,3033.0,3.0,11.0
2166,1.0,3.0,1010.0,10.0,11.0
3156,4.0,1.0,4041.0,3.0,16.0
2699,2.0,2.0,2028.0,9.0,16.0
2457,2.0,2.0,2026.0,3.0,18.0
3801,3.0,1.0,3034.0,11.0,10.0
2322,1.0,3.0,1012.0,1.0,20.0
3562,1.0,3.0,1011.0,5.0,15.0
2470,1.0,3.0,1012.0,1.0,16.0
2051,2.0,2.0,2024.0,5.0,15.0
3050,2.0,2.0,2024.0,4.0,15.0
2171,1.0,3.0,1012.0,5.0,14.0
3883,1.0,3.0,1022.0,1.0,21.0
2700,1.0,3.0,1014.0,1.0,13.0
3620,1.0,3.0,1015.0,2.0,17.0
3199,5.0,0.0,5055.0,2.0,15.0
3395,5.0,0.0,5053.0,6.0,12.0
3240,1.0,3.0,12.0,9.0,0.0
3814,1.0,3.0,1014.0,3.0,13.0
2289,1.0,3.0,1015.0,3.0,19.0
3185,1.0,3.0,1013.0,3.0,12.0
3928,1.0,3.0,1015.0,2.0,16.0
3004,1.0,3.0,1014.0,14.0,20.0
2089,1.0,3.0,1011.0,3.0,12.0
2359,1.0,3.0,1016.0,4.0,11.0
3650,2.0,2.0,2022.0,5.0,13.0
2273,4.0,1.0,4043.0,4.0,16.0
2225,1.0,3.0,1017.0,10.0,12.0
2406,1.0,3.0,1012.0,9.0,13.0
3022,5.0,0.0,5054.0,4.0,18.0
3482,1.0,3.0,1014.0,3.0,11.0
3669,1.0,3.0,1014.0,10.0,16.0
2978,3.0,2.0,3037.0,1.0,11.0
3400,4.0,1.0,4046.0,6.0,13.0
2882,1.0,3.0,1016.0,1.0,13.0
2229,2.0,2.0,2022.0,7.0,16.0
3749,2.0,2.0,2026.0,6.0,14.0
2613,2.0,2.0,2024.0,5.0,10.0
3118,2.0,2.0,2023.0,1.0,13.0
3070,1.0,3.0,1017.0,7.0,13.0
3651,2.0,2.0,2029.0,2.0,17.0
3005,2.0,2.0,2025.0,8.0,14.0
3025,2.0,2.0,2023.0,2.0,16.0
3859,1.0,3.0,1011.0,1.0,11.0
2591,2.0,2.0,2022.0,3.0,11.0
2484,1.0,3.0,1013.0,2.0,17.0
2685,1.0,3.0,1015.0,2.0,17.0
2526,3.0,2.0,3031.0,1.0,12.0
2383,4.0,1.0,4044.0,4.0,12.0
3032,1.0,3.0,1010.0,2.0,17.0
2165,1.0,3.0,1014.0,3.0,12.0
2860,3.0,1.0,3037.0,12.0,14.0
3205,3.0,1.0,3031.0,4.0,15.0
