,y_hat
3933,False
3379,False
2844,False
3335,False
2005,False
2555,False
2765,False
2883,False
2376,False
3965,False
3129,False
3571,False
2431,False
2296,False
3019,False
3914,False
2450,False
3702,False
2877,False
2965,False
3816,False
3752,False
2814,False
3517,False
2890,False
2176,False
2797,False
3131,False
2332,False
2826,False
2238,False
2866,False
2136,False
2934,False
3631,False
2837,False
3929,False
3874,False
3282,False
3953,False
3378,False
3093,False
3435,False
2442,False
3033,False
3042,False
2042,False
2408,False
2990,False
3619,False
2976,False
3009,False
3727,False
2807,False
2928,False
3664,False
3217,False
2593,False
3260,False
2152,False
3031,False
2460,False
3961,False
3437,False
2037,False
2000,False
2747,False
2921,False
2759,False
3209,False
3504,False
3641,False
2778,False
3078,False
3757,False
3847,False
3438,False
3444,False
3457,False
2841,False
3502,False
2894,False
2305,False
3325,False
2049,False
3137,False
2819,False
2499,False
2307,False
2909,False
2428,False
2627,False
3834,False
3469,False
3011,False
2501,False
2746,False
3320,False
2482,False
3104,False
2166,False
3156,False
2699,False
2457,False
3801,False
2322,False
3562,False
2470,False
2051,False
3050,False
2171,False
3883,False
2700,False
3620,False
3199,False
3395,False
3240,False
3814,False
2289,False
3185,False
3928,False
3004,False
2089,False
2359,False
3650,False
2273,False
2225,False
2406,False
3022,False
3482,False
3669,False
2978,False
3400,False
2882,False
2229,False
3749,False
2613,False
3118,False
3070,False
3651,False
3005,False
3025,False
3859,False
2591,False
2484,False
2685,False
2526,False
2383,False
3032,False
2165,False
2860,False
3205,False
2862,False
3970,False
3639,False
2417,False
2396,False
2774,False
3519,False
2743,False
3174,False
2277,False
2642,False
3029,False
2079,False
3764,False
3301,False
2675,False
3877,False
3600,False
3194,False
3599,False
3116,False
3910,False
3563,False
2430,False
2899,False
2374,False
2370,False
3869,False
2251,False
3549,False
3496,False
3351,False
3656,False
2716,False
3753,False
2474,False
3878,False
3317,False
2500,False
2048,False
3898,False
2664,False
3870,False
3373,False
3339,False
3302,False
2873,False
2377,False
