,years_experience,degree,nr_commits,nr_languages,nr_stars
3059,2.0,2.0,2022.0,6.0,16.0
3373,3.0,1.0,3032.0,5.0,13.0
2048,2.0,2.0,2023.0,13.0,13.0
2642,3.0,1.0,3033.0,2.0,16.0
3120,3.0,1.0,3034.0,1.0,22.0
2176,2.0,2.0,2022.0,6.0,18.0
2514,3.0,1.0,3034.0,6.0,14.0
2926,1.0,3.0,1012.0,4.0,22.0
3216,1.0,3.0,1013.0,5.0,13.0
3547,3.0,1.0,3035.0,5.0,14.0
2587,1.0,3.0,1013.0,13.0,15.0
3530,1.0,3.0,1015.0,3.0,13.0
2550,3.0,1.0,3033.0,6.0,12.0
2201,2.0,2.0,2024.0,2.0,12.0
3165,1.0,3.0,1014.0,5.0,12.0
2624,3.0,1.0,3033.0,1.0,12.0
2544,2.0,2.0,2027.0,2.0,15.0
3227,4.0,1.0,4042.0,4.0,15.0
3395,3.0,1.0,3033.0,6.0,12.0
3285,5.0,1.0,5053.0,13.0,13.0
2976,1.0,3.0,1014.0,2.0,17.0
3943,1.0,3.0,1012.0,2.0,13.0
3392,5.0,0.0,5054.0,5.0,13.0
3566,2.0,2.0,24.0,3.0,5.0
2263,2.0,2.0,2023.0,6.0,11.0
3557,4.0,1.0,4046.0,5.0,14.0
2287,3.0,2.0,3037.0,8.0,13.0
2460,1.0,3.0,1013.0,2.0,10.0
2231,3.0,1.0,3032.0,6.0,13.0
3266,1.0,3.0,1014.0,7.0,14.0
2928,3.0,1.0,3034.0,12.0,17.0
3950,2.0,2.0,23.0,4.0,3.0
2390,2.0,2.0,2028.0,7.0,13.0
3914,3.0,1.0,3037.0,2.0,13.0
2365,2.0,2.0,2022.0,2.0,12.0
3921,2.0,2.0,2020.0,5.0,16.0
2237,2.0,2.0,2027.0,5.0,13.0
2990,1.0,3.0,1015.0,4.0,10.0
2398,4.0,1.0,4046.0,2.0,11.0
3376,4.0,1.0,4045.0,7.0,14.0
2708,1.0,3.0,1013.0,5.0,17.0
3550,3.0,1.0,3036.0,6.0,11.0
2149,1.0,3.0,1013.0,8.0,14.0
2654,3.0,1.0,3033.0,5.0,15.0
3491,3.0,1.0,3034.0,5.0,16.0
2083,1.0,3.0,1017.0,11.0,22.0
2339,1.0,3.0,17.0,10.0,3.0
3217,3.0,1.0,3034.0,8.0,16.0
3174,4.0,1.0,4042.0,5.0,14.0
2909,1.0,3.0,1012.0,7.0,22.0
3664,2.0,2.0,26.0,5.0,4.0
3157,3.0,1.0,3032.0,3.0,14.0
2376,1.0,3.0,1015.0,5.0,11.0
3614,1.0,3.0,1014.0,3.0,11.0
2450,2.0,2.0,2028.0,6.0,13.0
3400,3.0,1.0,36.0,5.0,3.0
2846,1.0,3.0,1012.0,3.0,22.0
3812,3.0,1.0,3031.0,6.0,12.0
3132,4.0,1.0,4045.0,6.0,16.0
3199,3.0,1.0,3035.0,2.0,15.0
