,years_experience,degree,nr_commits,nr_languages,nr_stars
0,4.0,3.0,4042.0,8.0,11.0
1,1.0,1.0,1012.0,3.0,13.0
2,4.0,3.0,4047.0,3.0,11.0
3,2.0,0.0,23.0,2.0,3.0
4,1.0,1.0,14.0,3.0,5.0
5,8.0,1.0,8084.0,7.0,12.0
6,5.0,0.0,5053.0,6.0,10.0
7,4.0,2.0,4041.0,4.0,14.0
8,2.0,0.0,22.0,0.0,3.0
9,5.0,0.0,5050.0,2.0,17.0
10,4.0,3.0,4044.0,4.0,15.0
11,1.0,1.0,13.0,8.0,7.0
12,5.0,1.0,5057.0,5.0,16.0
13,3.0,2.0,3033.0,6.0,11.0
14,2.0,1.0,30.0,1.0,3.0
15,0.0,0.0,4.0,2.0,5.0
16,5.0,0.0,5051.0,6.0,12.0
17,2.0,2.0,2024.0,2.0,17.0
18,1.0,3.0,1011.0,1.0,14.0
19,5.0,2.0,5055.0,4.0,14.0
20,6.0,2.0,6064.0,5.0,15.0
21,3.0,0.0,30.0,1.0,6.0
22,4.0,2.0,4047.0,2.0,14.0
23,4.0,2.0,4041.0,4.0,12.0
24,1.0,1.0,14.0,27.0,3.0
25,1.0,0.0,12.0,0.0,6.0
26,2.0,1.0,2025.0,7.0,12.0
27,1.0,1.0,12.0,5.0,4.0
28,5.0,0.0,5053.0,4.0,17.0
29,2.0,0.0,26.0,4.0,6.0
30,3.0,0.0,33.0,0.0,10.0
31,6.0,0.0,6065.0,7.0,17.0
32,2.0,0.0,23.0,4.0,1.0
33,0.0,2.0,3.0,7.0,4.0
34,3.0,3.0,3034.0,14.0,14.0
35,2.0,0.0,24.0,2.0,3.0
36,8.0,1.0,8086.0,3.0,14.0
37,5.0,2.0,5059.0,2.0,11.0
38,5.0,3.0,5055.0,5.0,15.0
39,1.0,2.0,1016.0,1.0,12.0
40,4.0,0.0,4045.0,6.0,13.0
41,12.0,0.0,12125.0,5.0,25.0
42,4.0,0.0,4042.0,4.0,12.0
43,2.0,3.0,2025.0,5.0,14.0
44,3.0,2.0,3033.0,3.0,25.0
45,5.0,2.0,5058.0,1.0,16.0
46,2.0,0.0,25.0,5.0,6.0
47,2.0,1.0,25.0,5.0,4.0
48,1.0,0.0,12.0,1.0,2.0
49,1.0,3.0,10.0,27.0,1.0
50,2.0,1.0,2027.0,10.0,12.0
51,1.0,1.0,15.0,3.0,3.0
52,1.0,2.0,1016.0,1.0,13.0
53,1.0,1.0,13.0,2.0,2.0
54,6.0,1.0,6061.0,4.0,10.0
55,2.0,2.0,2023.0,9.0,17.0
56,1.0,2.0,1014.0,6.0,11.0
57,4.0,1.0,4045.0,5.0,14.0
58,6.0,1.0,6063.0,4.0,18.0
59,0.0,1.0,4.0,4.0,7.0
60,4.0,0.0,43.0,6.0,3.0
61,3.0,2.0,3032.0,7.0,12.0
62,2.0,2.0,2025.0,6.0,13.0
63,7.0,2.0,7072.0,7.0,18.0
64,2.0,2.0,2027.0,3.0,18.0
65,3.0,2.0,3033.0,6.0,16.0
66,1.0,2.0,12.0,2.0,2.0
67,3.0,2.0,3034.0,7.0,17.0
68,4.0,2.0,4042.0,5.0,10.0
69,3.0,2.0,3033.0,2.0,13.0
70,2.0,2.0,2026.0,6.0,13.0
71,4.0,3.0,4045.0,8.0,12.0
72,2.0,0.0,23.0,3.0,9.0
73,9.0,0.0,9096.0,7.0,14.0
74,3.0,2.0,3033.0,3.0,13.0
75,3.0,3.0,3033.0,20.0,15.0
76,8.0,1.0,8081.0,6.0,15.0
77,4.0,1.0,4046.0,4.0,12.0
78,2.0,0.0,22.0,2.0,3.0
79,0.0,0.0,6.0,1.0,2.0
80,1.0,0.0,13.0,3.0,6.0
81,3.0,1.0,3034.0,2.0,17.0
82,0.0,2.0,2.0,3.0,14.0
83,2.0,2.0,2020.0,8.0,13.0
84,2.0,0.0,25.0,7.0,3.0
85,3.0,1.0,3032.0,5.0,12.0
86,0.0,2.0,3.0,5.0,2.0
