,h_post,h_post_individualized
2728,0.56,
2241,0.84,
3200,0.56,
3622,0.56,
3988,0.56,
2643,0.56,
3420,0.56,
3607,0.56,
2124,0.56,
3499,0.56,
3438,0.56,
3103,0.56,
2956,1.0,
2828,0.56,
3432,0.56,
3759,0.56,
3557,0.56,
3231,0.56,
3539,0.56,
2834,0.56,
2309,0.56,
3372,0.56,
3709,0.9,
2735,0.56,
2446,0.56,
2945,0.56,
2535,0.56,
3693,0.56,
3258,0.56,
3040,0.56,
2536,0.8,
3379,0.56,
3586,0.56,
3183,0.56,
3223,0.56,
2937,0.56,
3268,0.56,
3165,0.6,
3208,0.56,
3186,0.56,
3335,0.56,
2658,0.56,
3439,0.56,
3095,0.56,
2967,0.56,
3873,0.56,
3891,0.56,
2468,0.56,
3493,0.56,
2420,0.56,
3717,0.56,
3944,0.56,
3865,0.56,
2422,0.56,
2767,0.54,
2702,0.56,
2052,0.56,
3357,0.56,
3102,0.56,
2994,0.56,
3278,0.56,
3295,0.56,
3015,0.56,
3763,0.56,
3755,0.6,
2686,0.56,
2822,0.56,
3234,0.86,
2790,0.56,
2056,0.56,
3768,0.6,
3391,0.56,
2583,0.56,
2571,0.56,
3521,0.9800000000000001,
2344,0.52,
3162,0.6,
2523,0.56,
3897,0.6,
3252,0.56,
3619,0.56,
2514,0.56,
3885,0.56,
2725,0.56,
2690,0.56,
3076,0.56,
3589,0.56,
3829,0.6,
2065,0.56,
3262,0.56,
2525,0.6,
2479,0.52,
2021,0.56,
2015,0.56,
3309,0.56,
3471,0.56,
2661,0.56,
3770,0.6,
2173,0.56,
3017,0.56,
2705,0.56,
3329,0.56,
3798,0.56,
3767,0.52,
3750,0.56,
3563,0.56,
2505,0.56,
2055,0.56,
3226,0.56,
2826,0.56,
2229,0.56,
2678,0.56,
3496,0.56,
3327,0.56,
2487,0.56,
3020,0.56,
3679,0.56,
3408,0.56,
2415,0.56,
3514,0.82,
3197,0.56,
2553,0.56,
2809,0.56,
2158,0.56,
2719,0.56,
3164,0.56,
3965,0.56,
2623,0.56,
3545,0.56,
3801,0.56,
3994,0.56,
3203,0.56,
3926,0.56,
2796,0.56,
2788,0.6,
3289,0.56,
2139,0.78,
3303,0.56,
3610,0.56,
2520,0.56,
2125,0.56,
2694,0.56,
2047,0.56,
2697,0.56,
2948,0.56,
3616,0.56,
3866,0.56,
3272,0.56,
3342,0.6,
2551,0.6,
2343,0.56,
3740,0.56,
3490,0.56,
2723,0.56,
3279,0.56,
2208,0.56,
2092,0.56,
3672,0.56,
3149,0.6,
2428,0.6,
2747,0.56,
3135,0.56,
3505,0.56,
2273,0.56,
2151,0.56,
2207,0.56,
3527,0.6,
2645,0.56,
3830,0.56,
3293,0.56,
2225,0.56,
3423,0.56,
2629,0.56,
2559,0.6,
2460,0.56,
3191,0.88,
3788,0.56,
3455,0.56,
3130,0.56,
2386,0.56,
2235,0.56,
3145,0.56,
3834,0.6,
3664,0.56,
3160,0.56,
2196,0.6,
3518,0.56,
3754,0.56,
3189,0.56,
2816,0.56,
2738,0.56,
3757,0.56,
2374,0.56,
3347,0.56,
3942,0.56,
2090,0.6,
2004,0.56,
2734,0.6,
3900,0.56,
3330,0.56,
