,y_hat
13845,False
16433,False
11495,False
13374,False
10763,False
17585,False
13623,False
11799,False
15824,False
14428,False
14500,False
10567,False
14651,False
19011,False
14630,False
11049,False
11844,False
17801,False
10928,False
14341,False
19557,False
18777,False
17913,False
17734,False
12758,False
13934,False
14902,False
12537,False
13590,False
12601,False
12440,False
10147,False
19585,False
18351,False
17860,False
16841,False
13682,False
10819,False
10175,False
12369,False
11914,False
15877,False
13144,False
11883,False
11737,False
19329,False
18253,False
19382,False
16334,False
18340,False
15841,False
13928,False
15442,False
10277,False
13193,False
18846,False
14526,False
13225,False
10551,False
12797,False
12681,False
10410,False
16351,False
11891,False
17606,False
14443,False
14702,False
14122,False
17615,False
11073,False
12532,False
10560,False
17420,False
19240,False
19418,False
15430,False
16771,False
14949,False
17690,False
13047,False
16658,False
15526,False
10557,False
19627,False
11543,False
13686,False
15947,False
11724,False
15970,False
19736,False
16827,False
18745,False
13062,False
12956,False
17444,False
11136,False
19779,False
12915,False
18870,False
16444,False
16421,False
14164,False
11659,False
13486,False
12002,False
15984,False
13617,False
13971,False
14562,False
12449,False
19804,False
14808,False
15832,False
15312,False
19226,False
16143,False
11345,False
15833,False
18372,False
19153,False
16910,False
16972,False
15578,False
11026,False
11817,False
18156,False
14824,False
14662,False
15647,False
18044,False
13992,False
17349,False
16527,False
18788,False
17651,False
13751,False
12975,False
16830,False
16483,False
14953,False
16933,False
11971,False
16975,False
17070,False
18543,False
13158,False
15438,False
18686,False
10647,False
11746,False
17950,False
15195,False
15892,False
12826,False
18312,False
19312,False
11297,False
10743,False
12689,False
18984,False
12412,False
17846,False
18776,False
16619,False
15602,False
19951,False
12270,False
13130,False
13379,False
18787,False
17044,False
11553,False
13010,False
14065,False
13273,False
12149,False
18692,False
12023,False
12433,False
16781,False
11527,False
14557,False
16689,False
19616,False
16526,False
19343,False
14748,False
19967,False
10614,False
16010,False
11590,False
17096,False
10273,False
15406,False
14556,False
18376,False
13853,False
10979,False
11260,False
13782,False
