ix,goal_cost,intv_cost
10413,1.0,0.3
16988,1.0,0.1
14678,1.0,0.4
13959,1.0,0.8
16610,1.0,0.2
10369,1.0,0.4
10585,1.0,0.8
16528,1.0,0.9
13626,1.0,0.9
17258,1.0,0.6
10154,1.0,0.1
12013,1.0,0.1
19324,1.0,0.6
17722,1.0,0.30000000000000004
18696,1.0,0.3
12268,1.0,0.8
11109,1.0,0.6
18845,1.0,0.1
16015,1.0,0.1
16649,1.0,0.4
12551,1.0,0.5
18006,1.0,0.6
15314,1.0,0.7
14935,1.0,0.6
16406,1.0,0.7
14362,1.0,0.4
10739,1.0,0.4
19346,1.0,0.7
13448,1.0,0.8
13352,1.0,0.2
19742,1.0,0.30000000000000004
17088,1.0,0.6
18134,1.0,0.2
19221,1.0,0.3
11568,1.0,0.4
17339,1.0,0.6
12261,1.0,0.2
19811,1.0,0.3
17195,1.0,0.2
14358,1.0,1.0
18717,1.0,0.2
19654,1.0,0.7
11656,1.0,1.0
14542,1.0,0.7
13126,1.0,0.3
11942,1.0,0.6
18015,1.0,0.7
12312,1.0,0.1
17421,1.0,0.6
10146,1.0,0.3
16206,1.0,0.8
12546,1.0,0.1
15980,1.0,0.3
16380,1.0,0.9
15948,1.0,0.9
11078,1.0,0.6
13543,1.0,0.9
18636,1.0,0.7
11111,1.0,0.6
14818,1.0,0.7
13285,1.0,1.0
19026,1.0,0.5
16495,1.0,0.5
17841,1.0,0.6
10301,1.0,0.7
19069,1.0,0.4
14129,1.0,0.4
14258,1.0,0.4
11089,1.0,0.2
13753,1.0,0.8
10122,1.0,0.2
15249,1.0,0.9
19245,1.0,0.3
14687,1.0,0.9
16253,1.0,0.4
11657,1.0,0.4
12134,1.0,0.7
12729,1.0,0.9
18971,1.0,0.2
19961,1.0,0.4
15681,1.0,0.2
14316,1.0,0.2
17989,1.0,0.3
19569,1.0,0.4
19655,1.0,1.0
10501,1.0,0.6
10155,1.0,0.7
18001,1.0,0.7
14059,1.0,0.6
16950,1.0,0.4
17606,1.0,0.1
17392,1.0,1.0
17622,1.0,0.8
18151,1.0,0.5
14409,1.0,0.3
13350,1.0,0.6
13331,1.0,1.0
12575,1.0,0.2
12568,1.0,0.7
14666,1.0,0.9
11018,1.0,0.4
12470,1.0,1.1
19250,1.0,0.4
17351,1.0,0.8
16909,1.0,0.5
15842,1.0,0.8
10935,1.0,1.0
17253,1.0,0.8
14090,1.0,0.8
10856,1.0,0.3
12308,1.0,0.2
12994,1.0,0.7999999999999999
15900,1.0,0.5
19248,1.0,0.8
10696,1.0,0.7
13096,1.0,0.9
15652,1.0,1.0
19300,1.0,0.9
18489,1.0,0.8
11042,1.0,0.7
18642,1.0,0.9
18828,1.0,0.6
17927,1.0,0.5
12684,1.0,0.4
16215,1.0,0.5
13967,1.0,0.4
11423,1.0,0.8
18288,1.0,0.2
14474,1.0,0.4
16877,1.0,0.3
16889,1.0,0.9
10003,1.0,0.6
12515,1.0,0.8
18862,1.0,0.4
15706,1.0,0.2
12542,1.0,0.8
10090,1.0,0.7
19390,1.0,0.4
11638,1.0,0.9
11933,1.0,0.2
17611,1.0,0.5
18036,1.0,0.6
12918,1.0,0.2
11569,1.0,0.7
15684,1.0,0.2
16078,1.0,0.1
14105,1.0,0.1
12249,1.0,0.6
11015,1.0,0.7
17665,1.0,0.7
12842,1.0,0.3
17892,1.0,0.5
18710,1.0,0.7
11934,1.0,0.8
11322,1.0,0.6
17770,1.0,0.6
16245,1.0,0.9
15067,1.0,0.2
11827,1.0,0.2
19918,1.0,0.2
10702,1.0,0.8
12553,1.0,0.6
15099,1.0,1.0
19176,1.0,0.6
13676,1.0,0.6
15860,1.0,0.4
13363,1.0,0.1
16789,1.0,1.0
10999,1.0,0.4
14053,1.0,0.3
14301,1.0,0.4
15852,1.0,1.0
14938,1.0,0.3
17456,1.0,0.5
11460,1.0,0.7
13411,1.0,0.2
18137,1.0,0.2
13969,1.0,0.1
12072,1.0,0.6
18780,1.0,0.2
18119,1.0,0.4
14471,1.0,0.3
16144,1.0,0.9
12256,1.0,0.2
16552,1.0,0.3
15882,1.0,0.2
14780,1.0,0.1
19964,1.0,0.3
18986,1.0,0.1
14957,1.0,0.7
17097,1.0,0.3
11057,1.0,0.8
15567,1.0,1.0
10565,1.0,0.7
12722,1.0,0.4
16898,1.0,0.8
15419,1.0,0.5
13787,1.0,1.0
19547,1.0,1.0
15446,1.0,0.4
