ix,goal_cost,intv_cost
12840,1.0,0.8
13513,1.0,0.7
13853,1.0,0.8
12873,1.0,0.8
14792,1.0,0.1
16707,1.0,0.9
15257,1.0,0.5
11478,1.0,0.4
16474,1.0,0.5
13823,1.0,0.8
15920,1.0,0.1
19173,1.0,0.9
16903,1.0,1.0
16768,1.0,0.2
11496,1.0,0.1
13944,1.0,0.3
16969,1.0,0.7
17046,1.0,0.9
10971,1.0,0.9
16354,1.0,0.4
11295,1.0,0.1
13282,1.0,0.1
13666,1.0,0.6
16760,1.0,0.6
12995,1.0,0.2
17395,1.0,0.9
17126,1.0,0.4
14350,1.0,0.5
15583,1.0,0.8
17808,1.0,0.6
13891,1.0,0.1
16100,1.0,0.4
19585,1.0,0.1
10844,1.0,1.0
10597,1.0,0.4
17989,1.0,0.4
10684,1.0,0.5
18774,1.0,0.5
18046,1.0,0.9
18302,1.0,0.4
18906,1.0,0.1
10665,1.0,1.0
10787,1.0,0.4
16218,1.0,0.1
10673,1.0,0.5
17499,1.0,0.8
15328,1.0,0.9
13447,1.0,0.5
17187,1.0,0.4
11422,1.0,0.5
19130,1.0,0.3
11634,1.0,0.7
13968,1.0,0.6
11592,1.0,0.8
15015,1.0,0.7
18772,1.0,1.0
13497,1.0,0.4
15178,1.0,0.5
12113,1.0,0.3
11821,1.0,1.0
12473,1.0,0.6
14482,1.0,0.4
13833,1.0,0.7
18078,1.0,0.6
19345,1.0,1.0
14803,1.0,0.9
19823,1.0,0.7999999999999999
12637,1.0,0.6
13243,1.0,0.4
13389,1.0,0.9
16669,1.0,0.1
11474,1.0,0.6
13994,1.0,1.0
14300,1.0,1.0
10625,1.0,0.9
10041,1.0,0.6
10760,1.0,0.8
15484,1.0,0.9
19008,1.0,1.0
10058,1.0,0.4
12575,1.0,0.4
19364,1.0,0.3
18148,1.0,0.8
15770,1.0,0.7
16013,1.0,0.1
16668,1.0,0.3
10239,1.0,0.5
12690,1.0,0.9
12976,1.0,0.9
16947,1.0,0.5
19193,1.0,0.2
13914,1.0,0.6
16160,1.0,0.9
11258,1.0,0.1
11831,1.0,0.3
12603,1.0,1.0
14438,1.0,0.9
16188,1.0,0.8
16413,1.0,0.6
16103,1.0,0.7
19561,1.0,0.9
16675,1.0,0.8
11925,1.0,0.3
10167,1.0,0.7
16043,1.0,0.1
12360,1.0,0.7
14384,1.0,0.5
12633,1.0,0.6
18683,1.0,0.9
19555,1.0,0.4
16551,1.0,0.9
15017,1.0,0.3
13782,1.0,0.7
16983,1.0,0.4
10859,1.0,0.9
15305,1.0,0.3
10730,1.0,0.9
14331,1.0,0.7
13105,1.0,0.8
15348,1.0,0.6
10514,1.0,0.1
17099,1.0,0.6
13325,1.0,0.8
16278,1.0,0.6
19015,1.0,0.6
17397,1.0,0.7
15161,1.0,0.8
19719,1.0,0.7
14270,1.0,0.1
12957,1.0,0.1
16557,1.0,0.4
11912,1.0,0.9
12028,1.0,0.2
17991,1.0,0.3
11624,1.0,0.3
17004,1.0,0.3
16502,1.0,0.8
16242,1.0,1.0
10346,1.0,0.4
16700,1.0,0.5
16139,1.0,0.2
10719,1.0,0.3
14918,1.0,0.4
11970,1.0,0.8
19973,1.0,0.7
16877,1.0,0.4
17256,1.0,0.2
15091,1.0,0.4
15341,1.0,0.6
10012,1.0,0.2
13221,1.0,0.3
12529,1.0,0.1
14167,1.0,0.6
16112,1.0,0.2
17870,1.0,0.9
12426,1.0,0.3
18538,1.0,0.6
10005,1.0,1.0
16901,1.0,0.9
12586,1.0,0.9
11519,1.0,0.4
19506,1.0,0.3
15407,1.0,0.3
11810,1.0,0.5
12458,1.0,0.7
14440,1.0,0.1
13014,1.0,0.4
15708,1.0,0.8
14631,1.0,0.3
14201,1.0,0.2
12947,1.0,0.4
10051,1.0,0.4
11195,1.0,1.1
19078,1.0,0.5
18559,1.0,0.7999999999999999
11273,1.0,0.9
17371,1.0,0.2
12149,1.0,0.7
18494,1.0,0.7
19697,1.0,1.0
18209,1.0,0.3
14953,1.0,0.1
16254,1.0,0.7
15134,1.0,0.7
15479,1.0,0.7
10035,1.0,1.0
15344,1.0,0.8
14247,1.0,1.0
13388,1.0,0.6
15746,1.0,0.7
11956,1.0,0.1
11064,1.0,0.4
14119,1.0,0.6
15540,1.0,0.1
17471,1.0,0.4
11301,1.0,0.4
14097,1.0,0.2
12064,1.0,0.5
16722,1.0,0.4
13391,1.0,0.8
