,y_hat
16785,False
14316,False
16478,False
12382,False
16914,False
14788,False
11179,False
12956,False
13107,False
12948,False
16650,False
15288,False
10451,False
18643,False
17249,False
15121,False
14287,False
18111,False
10915,False
18476,False
18103,False
14433,False
11330,False
16178,False
12775,False
19288,False
10990,False
18029,False
12074,False
12478,False
18808,False
13660,False
13246,False
13127,False
16493,False
11921,False
14990,False
15340,False
18881,False
11271,False
11406,False
14823,False
18980,False
19893,False
19232,False
11824,False
19122,False
17885,False
13202,False
17293,False
19599,False
15970,False
14569,False
14258,False
16637,False
11043,False
16011,False
18258,False
12385,False
12377,False
11650,False
19746,False
10496,False
13013,False
12008,False
18215,False
17668,False
10435,False
16506,False
11063,False
13390,False
12116,False
17429,False
18238,False
19979,False
17752,False
18012,False
19765,False
13257,False
12716,False
13116,False
12025,False
14020,False
12583,False
11218,False
17924,False
19467,False
11996,False
13196,False
13671,False
11061,False
11155,False
16111,False
15712,False
10779,False
18273,False
12543,False
16026,False
19579,False
15093,False
11779,False
16227,False
12078,False
10939,False
18225,False
12260,False
18013,False
11762,False
19308,False
15078,False
12741,False
19118,False
13068,False
15969,False
14632,False
13401,False
18065,False
16300,False
11172,False
16694,False
15320,False
10868,False
18008,False
14088,False
12188,False
18873,False
12088,False
12829,False
15711,False
13205,False
19321,False
11634,False
16564,False
16809,False
13234,False
11573,False
10877,False
15773,False
18866,False
14961,False
13308,False
16273,False
15181,False
14005,False
17348,False
11252,False
14036,False
19682,False
15794,False
12106,False
13987,False
15690,False
15613,False
16477,False
16581,False
11490,False
18595,False
17761,False
14841,False
18878,False
10668,False
12506,False
16518,False
10784,False
18239,False
10558,False
13272,False
17593,False
13166,False
17291,False
10221,False
15311,False
16735,False
15537,False
12706,False
14232,False
19676,False
12939,False
14109,False
14660,False
15314,False
12928,False
11492,False
17057,False
16901,False
18663,False
18434,False
16920,False
14239,False
11302,False
14869,False
13582,False
17003,False
12200,False
14570,False
17021,False
16671,False
14851,False
16211,False
19566,False
