ix,goal_cost,intv_cost
16860,0.9800000190734863,2.0
17941,0.96,2.0
14108,0.984000027179718,2.0
17637,0.9800000190734863,2.0
12199,0.956,2.2
15344,0.9860000014305115,2.0
18172,0.9660000205039978,1.0
16532,0.9779999852180481,2.0
12314,0.968,2.1
11006,0.958,1.4
11646,0.9819999933242798,2.0
13032,0.9860000014305115,1.0
13893,0.954,1.3
15319,0.9580000042915344,2.0
18478,0.9800000190734863,2.0
11614,0.956,1.2000000000000002
14987,0.9639999866485596,2.0
15143,0.952,1.2
11947,0.9860000014305115,2.0
13202,0.958,2.0
17231,0.9860000014305115,2.0
13919,0.976,2.0
11906,0.954,1.6
18980,0.9819999933242798,1.0
16630,0.9879999756813049,2.0
14990,0.9639999866485596,2.0
18239,0.972,5.1
18412,0.9819999933242798,1.0
19038,0.9959999918937683,2.0
10591,0.9940000176429749,3.0
12989,0.954,1.4000000000000001
19270,0.9879999756813049,2.0
19296,0.952,1.1
18048,0.9800000190734863,2.0
17894,0.958,0.9
16206,0.972000002861023,1.0
14960,0.99,0.1
12302,0.964,1.2
19196,0.9660000205039978,2.0
14067,0.9739999771118164,2.0
18878,0.9620000123977661,2.0
18215,0.952,1.7
10491,0.958,1.2
12706,0.9760000109672546,2.0
17763,0.96,2.8
16873,0.9819999933242798,1.0
15609,0.9599999785423279,1.0
10655,0.9860000014305115,2.0
19930,0.9919999837875366,2.0
18731,0.972000002861023,2.0
12184,0.956,2.0
12321,0.99,3.1
18754,0.9800000190734863,3.0
16694,0.956,1.4
19087,0.966,1.8
14961,0.958,3.7
17279,0.9860000014305115,2.0
16339,0.964,1.0
11390,0.9760000109672546,1.0
13549,0.954,1.5
16104,0.9580000042915344,2.0
17429,0.984000027179718,1.0
19122,0.9559999704360962,1.0
13377,0.952,1.6
19272,0.9580000042915344,2.0
12803,0.9539999961853027,1.0
17018,0.9539999961853027,2.0
15780,0.9879999756813049,2.0
16120,0.9900000095367432,2.0
18518,0.972000002861023,2.0
10974,0.9508913494796428,0.0
12876,0.9639999866485596,1.0
11566,0.9539999961853027,1.0
12740,0.966,1.6
19609,0.956,2.8
12432,0.958,1.9
17251,0.9660000205039978,2.0
12602,0.9919999837875366,2.0
17730,0.962,1.9
18300,0.9580000042915344,3.0
11725,0.954,1.2
11550,0.972000002861023,2.0
18142,0.956,1.1
16469,0.9620000123977661,2.0
14660,0.972000002861023,1.0
19385,0.9760000109672546,2.0
14498,0.9819999933242798,2.0
18808,0.956,2.2
16324,0.952,0.9
17341,0.9620000123977661,2.5
10427,0.9679999947547913,3.0
12377,0.952,2.0
14020,0.952,1.1
13460,0.952,3.0
10206,0.9559999704360962,2.0
15749,0.954,1.2
14759,0.954,1.3
15017,0.984000027179718,2.0
13617,0.9879999756813049,2.0
12775,0.966,1.4
10558,0.968,1.1
16766,0.9760000109672546,1.0
14878,0.9580000042915344,2.0
19848,0.956,0.7
17291,0.9860000014305115,2.0
16083,0.9520000219345093,1.0
11046,0.954,2.0
17542,0.952,2.0
12713,0.9520000219345093,2.0
12653,0.984000027179718,2.0
13078,0.972,2.6
13272,0.986,0.1
10362,0.984000027179718,3.0
15757,0.9559999704360962,2.5
14005,0.958,1.6
14841,0.9559999704360962,1.0
18025,0.9539999961853027,2.0
13769,0.97,1.7000000000000002
13837,0.9879999756813049,2.0
16791,0.956,3.9
16477,0.9539999961853027,2.5
15311,0.9900000095367432,2.0
13533,0.972,3.1
16594,0.954,2.1
14403,0.97,0.1
13358,0.9679999947547913,3.0
18422,0.952,1.7000000000000002
19674,0.984000027179718,2.0
12543,0.9559999704360962,2.0
19088,0.954,1.1
18113,0.984000027179718,2.0
11024,0.9819999933242798,1.0
16899,0.9520000219345093,1.0
18454,0.9700000286102295,1.0
17009,0.9800000190734863,2.0
12214,0.968,1.1
16882,0.9679999947547913,1.0
16515,0.958,1.2
19718,0.956,3.0
12260,0.968,2.2
10295,0.952,1.3
14229,0.9539999961853027,1.5
15326,0.9760000109672546,2.0
14258,0.96,1.4
19893,0.978,2.0
14855,0.954,1.2
18102,0.9760000109672546,3.0
12179,0.952,2.6
14312,0.984000027179718,1.0
18227,0.9599999785423279,1.0
16668,0.9879999756813049,1.0
15820,0.96,1.6
12102,0.9559999704360962,2.0
17325,0.9860000014305115,3.0
10659,0.962,1.5
17890,0.964,2.1
10089,0.966,2.0
15591,0.952,1.2
19826,0.9779999852180481,1.0
12716,0.9860000014305115,2.0
17920,0.96,1.3
15211,0.9620000123977661,1.0
19803,0.984000027179718,2.0
15769,0.9620000123977661,2.0
13798,0.9879999756813049,2.0
15288,0.954,2.1
11722,0.972000002861023,2.0
12176,0.9539999961853027,2.0
19341,0.972000002861023,2.0
12478,0.9700000286102295,2.0
15065,0.968,1.1
14824,0.956,3.0
16493,0.9879999756813049,1.0
16885,0.994,2.1
13166,0.9539999961853027,1.0
12760,0.954,0.30000000000000004
13962,0.954,1.5
11845,0.9639999866485596,1.0
12116,0.956,1.0
15711,0.9819999933242798,1.0
10784,0.984,1.0
16077,0.96,1.0
13234,0.972,2.0
18881,0.9539999961853027,2.0
19681,0.9919999837875366,2.0
14433,0.966,1.1
19768,0.96,1.0
14548,0.9972566778738877,0.0
14493,0.9779999852180481,1.0
13607,0.9757370956311022,0.0
18499,0.972000002861023,1.0
13390,0.9779999852180481,2.0
10225,0.9919999837875366,2.0
13477,0.972000002861023,1.0
12086,0.9860000014305115,1.0
15855,0.9739999771118164,1.0
12338,0.968,2.2
17079,0.9779999852180481,1.0
10643,0.9879999756813049,1.0
13486,0.9779999852180481,2.0
