,h_post,h_post_individualized
18091,0.02,
13927,1.0,
12151,1.0,
10701,0.9600000000000001,
17076,1.0,
10562,1.0,
12021,1.0,
15718,1.0,
13825,1.0,
12327,0.9800000000000001,
11515,1.0,
10015,1.0,
13359,1.0,
10946,1.0,
15257,0.18000000000000002,
11347,1.0,
18448,0.9800000000000001,
14439,0.94,
16294,0.0,
11258,1.0,
19576,1.0,
16202,1.0,
12098,0.0,
10053,0.060000000000000005,
15040,0.10000000000000002,
11599,1.0,
10922,1.0,
11698,1.0,
16056,1.0,
17134,1.0,
13943,1.0,
17276,1.0,
15925,1.0,
13515,0.02,
19319,1.0,
12600,1.0,
10178,1.0,
10205,0.0,
15955,1.0,
10532,0.0,
17069,1.0,
10199,1.0,
12118,1.0,
17414,1.0,
12656,1.0,
13057,1.0,
17681,0.9600000000000001,
18724,1.0,
11876,1.0,
16481,1.0,
14408,1.0,
13585,0.02,
17430,1.0,
15588,1.0,
18084,0.14000000000000004,
14053,1.0,
12712,1.0,
19597,1.0,
17760,0.9800000000000001,
14794,1.0,
18008,1.0,
14830,1.0,
14978,0.0,
11717,1.0,
17595,1.0,
15726,1.0,
10371,1.0,
15224,1.0,
15160,1.0,
10787,1.0,
15279,1.0,
19263,0.0,
12500,0.0,
19698,1.0,
14322,1.0,
15747,0.08000000000000002,
13928,1.0,
10121,0.0,
13528,0.0,
14878,1.0,
16257,1.0,
16266,1.0,
11662,1.0,
16669,1.0,
10361,1.0,
14184,0.0,
10642,1.0,
19907,1.0,
18762,1.0,
11610,1.0,
14577,1.0,
15239,1.0,
15300,1.0,
10906,1.0,
12240,1.0,
17363,1.0,
18466,1.0,
15028,1.0,
15930,0.0,
12482,1.0,
10249,1.0,
17136,1.0,
15210,1.0,
12371,1.0,
13856,1.0,
15306,0.04000000000000001,
16079,1.0,
16096,1.0,
13609,1.0,
18947,1.0,
10008,0.02,
13315,0.02,
17870,1.0,
17100,0.04000000000000001,
14192,0.0,
10828,1.0,
11624,0.02,
11904,1.0,
17014,1.0,
16237,1.0,
13293,1.0,
15121,1.0,
17646,1.0,
17876,0.0,
13087,0.0,
18480,0.0,
18460,0.0,
14272,1.0,
15662,1.0,
14152,0.02,
15656,1.0,
13120,1.0,
14456,1.0,
13218,0.9800000000000001,
16268,1.0,
10021,1.0,
19421,1.0,
18966,0.0,
13620,1.0,
14135,0.9800000000000001,
17517,0.0,
10348,1.0,
15109,0.02,
18111,0.0,
12551,0.060000000000000005,
11585,1.0,
16443,1.0,
19311,1.0,
16229,1.0,
14590,1.0,
14331,1.0,
14455,0.04000000000000001,
19843,1.0,
17882,0.02,
13144,1.0,
10640,0.02,
14464,0.0,
17054,1.0,
18996,0.0,
10136,1.0,
12997,1.0,
17928,0.0,
13349,1.0,
19033,1.0,
11756,1.0,
11609,1.0,
16384,1.0,
19474,0.02,
19012,1.0,
10676,0.04000000000000001,
16005,1.0,
12111,1.0,
14785,0.04000000000000001,
10964,1.0,
12644,1.0,
18172,1.0,
11795,1.0,
15888,1.0,
15587,1.0,
18938,0.02,
15674,1.0,
15591,1.0,
19813,1.0,
14663,0.04000000000000001,
12356,1.0,
18244,1.0,
12498,1.0,
15745,1.0,
16611,1.0,
12922,1.0,
16569,1.0,
19449,0.02,
14750,0.060000000000000005,
18154,1.0,
19177,0.02,
10183,0.02,
12195,0.0,
11265,0.9800000000000001,
16255,0.9800000000000001,
13551,1.0,
